gemeente,naam,geslacht,verwachte datum
Oostende,Patrick,Mannelijk,02/18/2019
Elsene,Maria,Vrouwelijk,02/06/2019
Quaregnon,Maximilien,Mannelijk,02/10/2019
Ninove,David,Mannelijk,02/14/2019
Sint-Jans-Molenbeek,Zahra,Vrouwelijk,02/13/2019
Grâce-Hollogne,Séverine,Vrouwelijk,02/14/2019
Zonnebeke,Noël,Mannelijk,02/01/2019
Damme,Jozef,Mannelijk,02/22/2019
Brussel,Alexander,Mannelijk,02/03/2019
Kortrijk,Luc,Mannelijk,02/24/2019
Beveren (Sint-Niklaas),Kristien,Vrouwelijk,02/03/2019
Paliseul,Joël,Mannelijk,02/06/2019
Gingelom,Dominique,Vrouwelijk,03/01/2019
Kontich,Anita,Vrouwelijk,03/01/2019
Rixensart,Danielle,Vrouwelijk,02/05/2019
Anderlecht,Pawel,Mannelijk,02/14/2019
Brussel,Jean,Mannelijk,02/08/2019
Gent,Kevin,Mannelijk,02/18/2019
Beringen,Eveline,Vrouwelijk,02/09/2019
Puurs-Sint-Amands,Liesbet,Vrouwelijk,02/16/2019
Dalhem,Jean,Mannelijk,02/19/2019
Schaarbeek,Dina,Vrouwelijk,02/07/2019
Ham-sur-Heure-Nalinnes,Rudy,Mannelijk,02/07/2019
Turnhout,Jef,Mannelijk,02/01/2019
Nandrin,Danielle,Vrouwelijk,02/09/2019
Staden,Louis,Mannelijk,02/06/2019
Luik,Romain,Mannelijk,02/06/2019
Oudenaarde,Robbe,Mannelijk,02/10/2019
Dilbeek,Marie,Vrouwelijk,01/31/2019
Sint-Pieters-Woluwe,Francesco,Mannelijk,01/31/2019
Schaarbeek,Hanane,Vrouwelijk,02/14/2019
Haaltert,Dean,Mannelijk,02/09/2019
Ottignies-Louvain-la-Neuve,Amina,Vrouwelijk,02/14/2019
Wetteren,Andy,Mannelijk,02/01/2019
Ravels,Maureen,Vrouwelijk,02/02/2019
La Louvière,Laetitia,Vrouwelijk,02/15/2019
Châtelet,Elena,Vrouwelijk,04/04/2019
Andenne,Maïté,Vrouwelijk,01/31/2019
Verviers,Florine,Vrouwelijk,02/15/2019
Kortrijk,Isabelle,Vrouwelijk,02/10/2019
Florennes,Benoît,Mannelijk,02/26/2019
Harelbeke,Monique,Vrouwelijk,02/11/2019
Jette,Yasmina,Vrouwelijk,03/04/2019
Sint-Lambrechts-Woluwe,Thomas,Mannelijk,02/17/2019
Nijlen,Bart,Mannelijk,02/12/2019
Turnhout,Maria,Vrouwelijk,02/01/2019
Ukkel,Micheline,Vrouwelijk,02/06/2019
Lochristi,Luc,Mannelijk,01/30/2019
Anderlecht,Wendy,Vrouwelijk,01/30/2019
Florennes,Audrey,Vrouwelijk,02/09/2019
Sivry-Rance,Maria,Vrouwelijk,02/11/2019
Mont-de-l’Enclus,Romain,Mannelijk,02/12/2019
Ecaussinnes,Hélène,Vrouwelijk,02/16/2019
Gent,Gerda,Vrouwelijk,02/12/2019
Hensies,Georgette,Vrouwelijk,02/11/2019
Dilbeek,Jean,Mannelijk,02/20/2019
Aarschot,Maria,Vrouwelijk,02/02/2019
Buggenhout,Lucien,Mannelijk,02/13/2019
Walcourt,Marcel,Mannelijk,02/14/2019
Herstal,Carmen,Vrouwelijk,02/01/2019
Châtelet,Nina,Vrouwelijk,01/30/2019
Brussel,Amin,Mannelijk,02/16/2019
Nijlen,Jan,Mannelijk,02/04/2019
Kuurne,Marnix,Mannelijk,02/05/2019
Antwerpen,Tahira,Vrouwelijk,02/10/2019
Weismes,Yves,Mannelijk,02/11/2019
Sint-Gillis,Alexandra,Vrouwelijk,02/13/2019
Hasselt,Roger,Mannelijk,02/11/2019
Westerlo,Lieve,Vrouwelijk,03/02/2019
Frameries,Romain,Mannelijk,02/07/2019
Charleroi,Olivier,Mannelijk,02/14/2019
Mortsel,Roel,Mannelijk,04/02/2019
Menen,Christophe,Mannelijk,03/27/2019
Beringen,Jo,Mannelijk,02/09/2019
Herve,Aurélie,Vrouwelijk,02/16/2019
Eeklo,Karel,Mannelijk,02/10/2019
Kalmthout,Martine,Vrouwelijk,02/18/2019
Lijsem,Patrick,Mannelijk,02/01/2019
Wingene,Louis,Mannelijk,02/18/2019
Boussu,Filippina,Vrouwelijk,02/09/2019
Anderlecht,Jean,Mannelijk,01/31/2019
