gemeente,naam,geslacht,verwachte datum
Antwerpen,Wafae,Vrouwelijk,06/02/2019
Péruwelz,Jacqueline,Vrouwelijk,06/14/2019
Moeskroen,Mathis,Mannelijk,06/06/2019
Izegem,Frederik,Mannelijk,06/15/2019
Antwerpen,Rudi,Mannelijk,06/12/2019
Brugge,Rony,Mannelijk,06/08/2019
Brussel,Eline,Vrouwelijk,06/04/2019
Zedelgem,Mathias,Mannelijk,06/11/2019
Essen,Roeland,Mannelijk,06/07/2019
Saint-Léger (Virton),Florian,Mannelijk,06/03/2019
Antwerpen,Ann,Vrouwelijk,06/03/2019
Elsene,Almudena,Vrouwelijk,06/08/2019
Geraardsbergen,Anneleen,Vrouwelijk,06/03/2019
Wevelgem,Cecile,Vrouwelijk,06/28/2019
Ieper,William,Mannelijk,06/13/2019
Bilzen,Maria,Vrouwelijk,06/13/2019
Ieper,Frederik,Mannelijk,06/04/2019
Kortrijk,Sebastien,Mannelijk,06/01/2019
Quévy,Nicolas,Mannelijk,06/26/2019
Temse,Bilal,Mannelijk,06/02/2019
Geldenaken,Pauline,Vrouwelijk,06/12/2019
Tienen,Denise,Vrouwelijk,06/06/2019
Leuven,Stijn,Mannelijk,06/27/2019
Theux,Lucas,Mannelijk,06/06/2019
Melle,Arne,Mannelijk,06/21/2019
Eeklo,Denise,Vrouwelijk,06/03/2019
Jette,Claude,Vrouwelijk,06/12/2019
Beerse,Debby,Vrouwelijk,06/19/2019
Beloeil,Séverine,Vrouwelijk,06/09/2019
Lichtervelde,Wouter,Mannelijk,06/07/2019
Eigenbrakel,Geneviève,Vrouwelijk,06/02/2019
Pelt,Danielle,Vrouwelijk,05/31/2019
Beveren (Sint-Niklaas),Steven,Mannelijk,06/07/2019
Grâce-Hollogne,Lohan,Mannelijk,06/07/2019
Elsene,Louis,Mannelijk,06/11/2019
Hasselt,Joris,Mannelijk,06/10/2019
Beersel,Magda,Vrouwelijk,06/04/2019
Arendonk,Lise,Vrouwelijk,06/09/2019
Durbuy,Freddy,Mannelijk,06/24/2019
Mechelen,Zoulikha,Vrouwelijk,07/01/2019
Sint-Truiden,Amélie,Vrouwelijk,06/12/2019
Waterloo,Victor,Mannelijk,06/13/2019
Luik,Abderrazak,Mannelijk,06/07/2019
Bocholt,Suzy,Vrouwelijk,06/09/2019
Oud-Heverlee,Maria,Vrouwelijk,06/20/2019
Waver,Joëlle,Vrouwelijk,06/15/2019
Büllingen,Jonathan,Mannelijk,06/05/2019
Fontaine-l’Evêque,Alain,Mannelijk,06/13/2019
Namen,Mariana,Vrouwelijk,06/12/2019
Poperinge,Ludo,Mannelijk,06/12/2019
Brussel,Jacky,Mannelijk,06/13/2019
Evere,Khaddouj,Vrouwelijk,06/09/2019
Destelbergen,Marjolein,Vrouwelijk,06/13/2019
Puurs-Sint-Amands,Jan,Mannelijk,06/30/2019
Komen-Waasten,Simon,Mannelijk,06/11/2019
Deerlijk,Hélène,Vrouwelijk,06/19/2019
Luik,Sébastien,Mannelijk,06/22/2019
Oudergem,Charles,Mannelijk,06/06/2019
Mont-Saint-Guibert,Annick,Vrouwelijk,06/11/2019
Sint-Lambrechts-Woluwe,Francine,Vrouwelijk,06/29/2019
Laakdal,Charlotte,Vrouwelijk,06/10/2019
Sint-Pieters-Leeuw,Jérôme,Mannelijk,06/08/2019
Nazareth,Aurélie,Vrouwelijk,06/02/2019
Sint-Niklaas (Sint-Niklaas),Joris,Mannelijk,06/04/2019
Mechelen,Denise,Vrouwelijk,05/31/2019
Mol,Walter,Mannelijk,06/07/2019
Moeskroen,Alicia,Vrouwelijk,06/23/2019
Sint-Pieters-Woluwe,Marta,Vrouwelijk,06/14/2019
Flémalle,Monique,Vrouwelijk,06/13/2019
Charleroi,Maryse,Vrouwelijk,06/07/2019
Steenokkerzeel,Luna,Vrouwelijk,06/12/2019
Sombreffe,Noé,Mannelijk,06/02/2019
Heusden-Zolder,Levent,Mannelijk,06/15/2019
Tongeren,Cindy,Vrouwelijk,06/15/2019
Izegem,Yves,Mannelijk,06/04/2019
Kasteelbrakel,Sophie,Vrouwelijk,06/07/2019
Gent,Michelle,Vrouwelijk,06/27/2019
Waterloo,Alexandre,Mannelijk,06/09/2019
Lanaken,Cindy,Vrouwelijk,06/11/2019
Peer,Bram,Mannelijk,06/19/2019
Zoersel,Bart,Mannelijk,06/12/2019
