gemeente,naam,geslacht,verwachte datum
Kortenberg,Nadine,Vrouwelijk,10/31/2019
Heuvelland,Andy,Mannelijk,11/02/2019
Bilzen,Joseph,Mannelijk,11/02/2019
Rotselaar,Petra,Vrouwelijk,10/22/2019
Ranst,Matthias,Mannelijk,11/05/2019
Mechelen,Paulina,Vrouwelijk,11/09/2019
Genepiën,Stéphane,Mannelijk,10/22/2019
La Louvière,Mélissa,Vrouwelijk,10/22/2019
Namen,Léo,Mannelijk,11/01/2019
Roeselare,Johan,Mannelijk,11/07/2019
Antwerpen,Christiane,Vrouwelijk,10/20/2019
Lommel,Peter,Mannelijk,11/22/2019
Sint-Truiden,Paula,Vrouwelijk,11/07/2019
Luik,Zahra,Vrouwelijk,11/16/2019
Destelbergen,Eddy,Mannelijk,11/10/2019
Kampenhout,Ann,Vrouwelijk,12/09/2019
Watermaal-Bosvoorde,Jérémy,Mannelijk,10/27/2019
Heist-op-den-Berg,Lina,Vrouwelijk,10/30/2019
Zelzate,Didier,Mannelijk,10/30/2019
Sint-Truiden,Christine,Vrouwelijk,11/12/2019
Namen,Camille,Vrouwelijk,11/02/2019
Keerbergen,Freddy,Mannelijk,11/02/2019
Antwerpen,François,Mannelijk,10/30/2019
Aalst (Aalst),Jonas,Mannelijk,10/29/2019
Landen,Pauline,Vrouwelijk,11/20/2019
Sint-Lievens-Houtem,Peter,Mannelijk,10/23/2019
Sint-Niklaas (Sint-Niklaas),Debbie,Vrouwelijk,10/28/2019
Schaarbeek,Maya,Vrouwelijk,10/22/2019
Morlanwelz,Robin,Mannelijk,11/02/2019
Zaventem,Brent,Mannelijk,11/08/2019
Eeklo,Gert,Mannelijk,10/30/2019
Oudenaarde,Bettina,Vrouwelijk,11/03/2019
Dilbeek,Monique,Vrouwelijk,11/16/2019
Wezet,Ahmet,Mannelijk,11/08/2019
Pont-à-Celles,Christian,Mannelijk,10/20/2019
Anderlecht,Barbara,Vrouwelijk,12/16/2019
Langemark-Poelkapelle,Emma,Vrouwelijk,11/03/2019
Brussel,Maria,Vrouwelijk,10/20/2019
