gemeente,naam,geslacht,verwachte datum
Jette,Anne,Vrouwelijk,01/02/2020
Lochristi,Joris,Mannelijk,12/17/2019
Genk,Jan,Mannelijk,12/17/2019
Doornik,Léa,Vrouwelijk,12/24/2019
Herentals,Evelyne,Vrouwelijk,01/18/2020
Schaarbeek,Roseline,Vrouwelijk,12/30/2019
Poperinge,Liesbeth,Vrouwelijk,01/07/2020
’s Gravenbrakel,Anne,Vrouwelijk,01/01/2020
Saint-Nicolas (Luik),Salvatore,Mannelijk,01/04/2020
Zonnebeke,Mario,Mannelijk,12/17/2019
Gent,Nesibe,Vrouwelijk,12/26/2019
Staden,Virginie,Vrouwelijk,01/02/2020
Sint-Jans-Molenbeek,Marcela,Vrouwelijk,12/30/2019
Damme,Yves,Mannelijk,01/15/2020
Vosselaar,Jan,Mannelijk,12/23/2019
Antwerpen,Zaman,Mannelijk,12/22/2019
Bilzen,Rani,Vrouwelijk,12/29/2019
Namen,Manon,Vrouwelijk,12/28/2019
Heusden-Zolder,Felix,Mannelijk,01/18/2020
Bernissart,Manon,Vrouwelijk,01/10/2020
Leuze-en-Hainaut,Eva,Vrouwelijk,12/23/2019
Bitsingen,Christian,Mannelijk,12/26/2019
Namen,Jean,Mannelijk,12/24/2019
La Louvière,Souad,Vrouwelijk,12/28/2019
Luik,Véronique,Vrouwelijk,12/26/2019
Ninove,Patrick,Mannelijk,12/18/2019
Sint-Truiden,Jasper,Mannelijk,12/27/2019
Antwerpen,Victor,Mannelijk,01/05/2020
Erezée,Jean,Mannelijk,12/28/2019
Gent,Lotte,Vrouwelijk,01/11/2020
Denderleeuw,Jean-Pierre,Mannelijk,12/20/2019
Fernelmont,Jérémy,Mannelijk,12/28/2019
Hulshout,Christophe,Mannelijk,01/03/2020
Antwerpen,Maarten,Mannelijk,12/19/2019
Temse,Tina,Vrouwelijk,12/31/2019
Eupen,Helene,Vrouwelijk,01/16/2020
Ukkel,Marcella,Vrouwelijk,01/03/2020
