gemeente,naam,geslacht,verwachte datum
Ruiselede,Etienne,Mannelijk,12/02/2019
Duffel,Bjorn,Mannelijk,12/04/2019
Verviers,Jordan,Mannelijk,12/11/2019
Oostende,Annie,Vrouwelijk,12/07/2019
Yvoir,Barbara,Vrouwelijk,01/03/2020
Hamme (Dendermonde),Michiel,Mannelijk,12/12/2019
Sprimont,Hugo,Mannelijk,12/04/2019
Theux,Léna,Vrouwelijk,12/27/2019
Scherpenheuvel-Zichem,Jurgen,Mannelijk,12/11/2019
Ham-sur-Heure-Nalinnes,Pierre,Mannelijk,12/01/2019
Maasmechelen,Maria,Vrouwelijk,12/03/2019
Gent,Carine,Vrouwelijk,12/30/2019
Damme,Lander,Mannelijk,12/16/2019
Beveren (Sint-Niklaas),Katarzyna,Vrouwelijk,12/11/2019
Schaarbeek,Emile,Mannelijk,12/10/2019
Ukkel,Ruben,Mannelijk,12/20/2019
Aat,Christophe,Mannelijk,11/30/2019
Opzullik,Marie-Thérèse,Vrouwelijk,12/13/2019
Lievegem,Yolande,Vrouwelijk,12/12/2019
Waregem,Milan,Mannelijk,12/10/2019
Lede,Adrienne,Vrouwelijk,12/17/2019
Ninove,Rik,Mannelijk,12/07/2019
Luik,Mira,Vrouwelijk,12/08/2019
Aarlen,Christian,Mannelijk,12/10/2019
Blegny,Gérard,Mannelijk,12/11/2019
Nijlen,Marc,Mannelijk,12/13/2019
Charleroi,Eloïse,Vrouwelijk,12/08/2019
Thimister-Clermont,Marie-José,Vrouwelijk,12/06/2019
Aalst (Aalst),Hilde,Vrouwelijk,12/10/2019
Kruibeke,Filip,Mannelijk,12/11/2019
Willebroek,Tim,Mannelijk,12/18/2019
Amay,Laura,Vrouwelijk,12/09/2019
Sint-Lambrechts-Woluwe,Sébastien,Mannelijk,12/15/2019
Meerhout,Greet,Vrouwelijk,12/05/2019
Fléron,Annie,Vrouwelijk,12/09/2019
Erpe-Mere,Sofie,Vrouwelijk,12/13/2019
Ans,Vincenzo,Mannelijk,12/25/2019
Beveren (Sint-Niklaas),Anne,Vrouwelijk,12/10/2019
Zemst,Kobe,Mannelijk,12/06/2019
Lochristi,Christian,Mannelijk,12/11/2019
Tessenderlo,Lotte,Vrouwelijk,12/25/2019
Tervuren,Thierry,Mannelijk,12/09/2019
Tervuren,Liam,Mannelijk,12/08/2019
Denderleeuw,Chloé,Vrouwelijk,12/09/2019
Luik,Fabian,Mannelijk,01/24/2020
Ottignies-Louvain-la-Neuve,Claude,Mannelijk,12/03/2019
Erquelinnes,Eddy,Mannelijk,12/19/2019
Lummen,Monique,Vrouwelijk,12/01/2019
Hasselt,Astrid,Vrouwelijk,12/05/2019
Gent,Philippe,Mannelijk,12/13/2019
Zwijndrecht,Carina,Vrouwelijk,12/10/2019
Oudenaarde,Stefaan,Mannelijk,12/28/2019
Aiseau-Presles,Alexandre,Mannelijk,11/30/2019
Destelbergen,Luc,Mannelijk,12/10/2019
Charleroi,Fadoua,Vrouwelijk,12/02/2019
Messancy,Pierre,Mannelijk,12/07/2019
Diepenbeek,Siebe,Mannelijk,12/08/2019
Hélécine,Stéphane,Mannelijk,12/02/2019
Charleroi,Lydia,Vrouwelijk,12/19/2019
Lommel,Bart,Mannelijk,01/02/2020
Turnhout,Eduardus,Mannelijk,12/19/2019
Anderlecht,Fatma,Vrouwelijk,12/28/2019
Ravels,Franciscus,Mannelijk,12/12/2019
