gemeente,naam,geslacht,verwachte datum
Vorst (Brussel-Hoofdstad),Jacqueline,Vrouwelijk,09/30/2019
Luik,Mohammed,Mannelijk,09/28/2019
Huldenberg,Rita,Vrouwelijk,09/22/2019
Riemst,Christina,Vrouwelijk,10/06/2019
Oud-Turnhout,Nele,Vrouwelijk,10/06/2019
Oostende,Freddy,Mannelijk,09/22/2019
Sambreville,Eliane,Vrouwelijk,09/21/2019
Antwerpen,Patrick,Mannelijk,10/06/2019
Moeskroen,Bastien,Mannelijk,09/28/2019
Hamont-Achel,Josephus,Mannelijk,09/25/2019
Sint-Lambrechts-Woluwe,Léa,Vrouwelijk,09/17/2019
Oupeye,Joséphine,Vrouwelijk,09/25/2019
Menen,Jonas,Mannelijk,09/30/2019
Merksplas,Dirk,Mannelijk,10/06/2019
Sprimont,Line,Vrouwelijk,10/05/2019
Herzele,Anny,Vrouwelijk,09/21/2019
Wezembeek-Oppem,Pascale,Vrouwelijk,09/26/2019
Sint-Katelijne-Waver,Myriam,Vrouwelijk,10/05/2019
Sint-Lievens-Houtem,Marie,Vrouwelijk,10/07/2019
Zwevegem,Luc,Mannelijk,09/26/2019
Evergem,Sara,Vrouwelijk,09/19/2019
Aubange,Stéphane,Mannelijk,10/05/2019
Leuven,Dirk,Mannelijk,09/29/2019
Aalst (Aalst),Timothy,Mannelijk,10/02/2019
Dison,Gérard,Mannelijk,09/18/2019
Antwerpen,Dirk,Mannelijk,09/30/2019
Seraing,Félix,Mannelijk,09/19/2019
Sint-Gillis-Waas,Alice,Vrouwelijk,10/10/2019
Lede,Evelyn,Vrouwelijk,09/30/2019
Watermaal-Bosvoorde,Eline,Vrouwelijk,09/30/2019
Sint-Lambrechts-Woluwe,Chantal,Vrouwelijk,09/25/2019
Duffel,Magda,Vrouwelijk,10/02/2019
Beernem,Lotte,Vrouwelijk,10/10/2019
La Louvière,Marie-Jeanne,Vrouwelijk,10/07/2019
Kelmis,Marguerite,Vrouwelijk,10/03/2019
Seraing,Gwenaëlle,Vrouwelijk,09/24/2019
Steenokkerzeel,Bjorn,Mannelijk,09/28/2019
Aat,Delphine,Vrouwelijk,10/19/2019
Oudergem,Vinciane,Vrouwelijk,09/21/2019
Willebroek,Daniël,Mannelijk,09/24/2019
Bernissart,Annie,Vrouwelijk,09/30/2019
Namen,Jean-Claude,Mannelijk,09/25/2019
Quaregnon,Marie-Thérèse,Vrouwelijk,09/27/2019
Antwerpen,Agnes,Vrouwelijk,09/21/2019
Wortegem-Petegem,Erwin,Mannelijk,10/01/2019
Trooz,Léa,Vrouwelijk,09/25/2019
Leuven,Klaas,Mannelijk,10/14/2019
Geel,Marleen,Vrouwelijk,09/19/2019
Gent,Els,Vrouwelijk,09/27/2019
Aat,Jean-Philippe,Mannelijk,10/20/2019
Lasne,Claudine,Vrouwelijk,09/26/2019
Leuven,Sam,Mannelijk,10/01/2019
Pepinster,Marc,Mannelijk,10/01/2019
Genk,Nele,Vrouwelijk,10/07/2019
Braives,Xavier,Mannelijk,10/14/2019
Evere,Alexandra,Vrouwelijk,10/19/2019
Ternat,Marleen,Vrouwelijk,09/30/2019
Beveren (Sint-Niklaas),Bert,Mannelijk,09/28/2019
Dilsen-Stokkem,Ludo,Mannelijk,11/19/2019
Herentals,Lara,Vrouwelijk,09/17/2019
Hastière,Patricia,Vrouwelijk,09/21/2019
Frameries,Michelle,Vrouwelijk,10/02/2019
Orp-Jauche,Cédric,Mannelijk,09/25/2019
Antwerpen,Elisa,Vrouwelijk,09/23/2019
Brugge,Ursula,Vrouwelijk,10/04/2019
Ternat,Geert,Mannelijk,09/27/2019
Evere,Sabrina,Vrouwelijk,09/28/2019
Brussel,Fabienne,Vrouwelijk,09/24/2019
Pelt,Gerard,Mannelijk,09/18/2019
Leuven,Toon,Mannelijk,09/29/2019
Antwerpen,Toby,Vrouwelijk,09/28/2019
Schaarbeek,Havva,Vrouwelijk,09/30/2019
Bredene,Marlies,Vrouwelijk,09/19/2019
Diepenbeek,Luc,Mannelijk,09/26/2019
Beveren (Sint-Niklaas),Len,Mannelijk,09/29/2019
Brussel,Pavel,Mannelijk,09/30/2019
Antoing,Ethan,Mannelijk,09/17/2019
Charleroi,Luca,Mannelijk,09/30/2019
Antwerpen,Catharina,Vrouwelijk,09/29/2019
Schaarbeek,Abraham,Mannelijk,09/25/2019
Hooglede,Noor,Vrouwelijk,09/23/2019
Ans,Amélie,Vrouwelijk,10/21/2019
Pont-à-Celles,Sacha,Mannelijk,09/17/2019
Elsene,Boubacar,Mannelijk,09/22/2019
Flémalle,David,Mannelijk,09/22/2019
Antwerpen,Joanna,Vrouwelijk,09/27/2019
Charleroi,Geoffrey,Mannelijk,10/05/2019
Mortsel,Karel,Mannelijk,10/07/2019
Haaltert,Frederik,Mannelijk,09/29/2019
Beyne-Heusay,Francesco,Mannelijk,09/23/2019
Schaarbeek,Jamal,Mannelijk,10/19/2019
Luik,Sabine,Vrouwelijk,10/15/2019
Edingen,Jacqueline,Vrouwelijk,09/18/2019
Dilbeek,Alexander,Mannelijk,09/18/2019
Oostende,Liliane,Vrouwelijk,09/17/2019
Oudsbergen,Hilda,Vrouwelijk,10/01/2019
