gemeente,naam,geslacht,verwachte datum
Couvin,Lucas,Mannelijk,12/15/2019
Antwerpen,Erika,Vrouwelijk,12/09/2019
Courcelles,Léo,Mannelijk,12/23/2019
Essen,Eva,Vrouwelijk,12/23/2019
Brecht,Joris,Mannelijk,12/12/2019
Leuven,Ellen,Vrouwelijk,12/04/2019
Essen,Annie,Vrouwelijk,12/14/2019
Bergen,Jean-Pierre,Mannelijk,12/08/2019
Berlare,Joris,Mannelijk,12/06/2019
Waver,Laura,Vrouwelijk,12/10/2019
Luik,Brice,Mannelijk,12/04/2019
Bornem,Bruno,Mannelijk,12/13/2019
Gouvy,Yvonne,Vrouwelijk,12/07/2019
Namen,Louis,Mannelijk,12/15/2019
Antwerpen,Lucca,Mannelijk,12/18/2019
Geldenaken,Jacques,Mannelijk,12/05/2019
Bree,Lutgardis,Vrouwelijk,12/07/2019
Brugge,Chayenne,Vrouwelijk,12/16/2019
Graven,Sébastien,Mannelijk,01/27/2020
Sint-Lambrechts-Woluwe,Patricia,Vrouwelijk,12/09/2019
Poperinge,Henri,Mannelijk,12/03/2019
Gent,Ann,Vrouwelijk,01/08/2020
Ciney,Emma,Vrouwelijk,12/07/2019
Halle (Halle-Vilvoorde),Rosa,Vrouwelijk,12/29/2019
Antwerpen,Philippe,Mannelijk,12/15/2019
Montigny-le-Tilleul,Damien,Mannelijk,12/10/2019
Dour,Lilou,Vrouwelijk,12/18/2019
Charleroi,André,Mannelijk,12/07/2019
Beauraing,Anne,Vrouwelijk,12/13/2019
Beringen,Jan,Mannelijk,01/14/2020
Colfontaine,Noah,Mannelijk,12/15/2019
Chiny,Benjamin,Mannelijk,12/09/2019
Brugge,Gino,Mannelijk,12/27/2019
Genk,Tatiana,Vrouwelijk,12/03/2019
Gent,Samia,Vrouwelijk,12/15/2019
Sint-Niklaas (Sint-Niklaas),Edward,Mannelijk,12/05/2019
Waregem,Etienne,Mannelijk,12/14/2019
Haaltert,Tanja,Vrouwelijk,12/25/2019
Gent,Florence,Vrouwelijk,12/11/2019
Erpe-Mere,André,Mannelijk,12/21/2019
Antwerpen,Vlora,Vrouwelijk,12/04/2019
’s Gravenbrakel,Maria,Vrouwelijk,12/08/2019
Dentergem,Lisette,Vrouwelijk,12/15/2019
Mol,Nancy,Vrouwelijk,12/22/2019
Genk,Arne,Mannelijk,12/13/2019
Assesse,Morgane,Vrouwelijk,12/04/2019
Beringen,Marie,Vrouwelijk,12/11/2019
Waregem,Monique,Vrouwelijk,12/15/2019
Puurs-Sint-Amands,André,Mannelijk,12/15/2019
Brasschaat,Rita,Vrouwelijk,01/04/2020
Zedelgem,Ian,Mannelijk,12/23/2019
Herentals,Joseph,Mannelijk,12/23/2019
Binche,Marc,Mannelijk,01/04/2020
Doornik,Marie-Françoise,Vrouwelijk,12/19/2019
Sint-Pieters-Leeuw,Alexandre,Mannelijk,12/23/2019
Châtelet,Jenny,Vrouwelijk,12/11/2019
Boortmeerbeek,Elvire,Vrouwelijk,12/20/2019
Haacht,Fien,Vrouwelijk,12/11/2019
Bredene,Alain,Mannelijk,12/03/2019
Kluisbergen,Rita,Vrouwelijk,12/15/2019
Namen,Joseph,Mannelijk,12/21/2019
Ronse,Edith,Vrouwelijk,12/12/2019
Waver,Emilien,Mannelijk,12/19/2019
Antwerpen,Ilyas,Mannelijk,12/16/2019
Beveren (Sint-Niklaas),Leon,Mannelijk,12/18/2019
Lier,Vincent,Mannelijk,12/11/2019
Tessenderlo,Veerle,Vrouwelijk,12/14/2019
Sint-Jans-Molenbeek,Dora,Vrouwelijk,12/20/2019
Leuven,Simon,Mannelijk,12/07/2019
Luik,Anne,Vrouwelijk,12/04/2019
Luik,Marino,Mannelijk,12/09/2019
Etalle,Jean-Claude,Mannelijk,12/29/2019
Lasne,Pierre,Mannelijk,01/03/2020
Herent,Gerarda,Vrouwelijk,12/16/2019
Wielsbeke,Ann,Vrouwelijk,12/15/2019
Schaarbeek,Thomas,Mannelijk,01/14/2020
Seraing,Marc,Mannelijk,12/13/2019
Kortrijk,Daniel,Mannelijk,01/02/2020
Merchtem,Seppe,Mannelijk,12/10/2019
Merbes-le-Château,Frédéric,Mannelijk,12/14/2019
Liedekerke,Günther,Mannelijk,12/21/2019
Grâce-Hollogne,Laura,Vrouwelijk,12/11/2019
Frameries,Paolo,Mannelijk,12/22/2019
Seneffe,Marcelle,Vrouwelijk,12/22/2019
Aat,Monique,Vrouwelijk,12/09/2019
Gent,Evert,Mannelijk,12/23/2019
Brugge,Marjolein,Vrouwelijk,12/12/2019
Seraing,Rita,Vrouwelijk,12/16/2019
Harelbeke,Bernard,Mannelijk,12/14/2019
Brussel,Amadou,Mannelijk,12/21/2019
Brasschaat,Joris,Mannelijk,01/06/2020
Vilvoorde,Guy,Mannelijk,12/11/2019
Sint-Lambrechts-Woluwe,Tobias,Mannelijk,12/11/2019
Flémalle,Michel,Mannelijk,12/19/2019
Landen,Nicole,Vrouwelijk,12/04/2019
Zaventem,Ahmet,Mannelijk,12/05/2019
Aarschot,Liliane,Vrouwelijk,12/30/2019
Ravels,Monika,Vrouwelijk,12/18/2019
Temse,Michel,Mannelijk,12/06/2019
Steenokkerzeel,Elke,Vrouwelijk,12/04/2019
Tubeke,Christopher,Mannelijk,12/05/2019
Mortsel,Glenn,Mannelijk,12/11/2019
Luik,Said,Mannelijk,12/10/2019
Fernelmont,Marcel,Mannelijk,12/27/2019
Hoogstraten,Liam,Mannelijk,01/04/2020
Mechelen,Brent,Mannelijk,12/15/2019
Zemst,Oscar,Mannelijk,12/10/2019
Knokke-Heist,Rita,Vrouwelijk,12/11/2019
Lier,Kjell,Mannelijk,12/20/2019
Colfontaine,Michel,Mannelijk,01/06/2020
Herentals,Patrick,Mannelijk,12/20/2019
Hoei,Léa,Vrouwelijk,12/10/2019
Antwerpen,Salma,Vrouwelijk,01/06/2020
Olen,Ivan,Mannelijk,12/21/2019
Bergen,Flavie,Vrouwelijk,12/19/2019
Antwerpen,Oliver,Mannelijk,12/04/2019
Hasselt,Marlies,Vrouwelijk,12/11/2019
Anderlecht,Arlette,Vrouwelijk,12/08/2019
Paliseul,Noémie,Vrouwelijk,12/10/2019
Ternat,Rita,Vrouwelijk,12/20/2019
Middelkerke,Jesse,Mannelijk,12/13/2019
Tienen,Annelies,Vrouwelijk,12/17/2019
Beersel,Sandrine,Vrouwelijk,12/06/2019
Temse,Mohamed,Mannelijk,12/21/2019
Rumes,Valentin,Mannelijk,12/16/2019
Moeskroen,Perrine,Vrouwelijk,12/16/2019
Gent,Luna,Vrouwelijk,12/16/2019
Bütgenbach,Patrick,Mannelijk,12/15/2019
Fléron,Nisa,Vrouwelijk,12/04/2019
Hasselt,Nadia,Vrouwelijk,12/23/2019
