gemeente,naam,geslacht,verwachte datum
Antwerpen,Bert,Mannelijk,02/01/2019
Oostende,Herman,Mannelijk,02/08/2019
Westerlo,Katleen,Vrouwelijk,01/26/2019
Charleroi,Said,Mannelijk,02/08/2019
Nijvel,Ghislaine,Vrouwelijk,02/02/2019
Anderlecht,Chloé,Vrouwelijk,01/31/2019
Sint-Pieters-Woluwe,Florence,Vrouwelijk,02/13/2019
Charleroi,Joëlle,Vrouwelijk,02/09/2019
Ronse,Marie,Vrouwelijk,02/15/2019
Aalst (Aalst),Sonia,Vrouwelijk,02/15/2019
Leuven,Willy,Mannelijk,02/03/2019
Gent,Louis,Mannelijk,01/31/2019
Dalhem,Manon,Vrouwelijk,02/04/2019
Gistel,Jacqueline,Vrouwelijk,01/28/2019
Turnhout,Nik,Mannelijk,02/15/2019
Mechelen,Veerle,Vrouwelijk,01/24/2019
Antwerpen,Edgar,Mannelijk,02/09/2019
Bergen,Tristan,Mannelijk,02/10/2019
Wetteren,Diane,Vrouwelijk,01/27/2019
Assesse,Bruno,Mannelijk,01/24/2019
Grimbergen,Olivia,Vrouwelijk,02/20/2019
Zwijndrecht,Veronique,Vrouwelijk,02/03/2019
La Louvière,Olivia,Vrouwelijk,01/27/2019
Torhout,Pieter,Mannelijk,01/31/2019
La Louvière,Anna-Maria,Vrouwelijk,02/10/2019
Eeklo,Stefanie,Vrouwelijk,02/03/2019
Frameries,José,Mannelijk,01/29/2019
Balen,Catharina,Vrouwelijk,02/05/2019
Hulshout,Dirk,Mannelijk,02/07/2019
Bevekom,Marthe,Vrouwelijk,01/29/2019
Kortrijk,Simon,Mannelijk,02/03/2019
Verviers,Monique,Vrouwelijk,02/11/2019
Colfontaine,Steve,Mannelijk,02/01/2019
Gent,Chantal,Vrouwelijk,01/30/2019
Merbes-le-Château,Emilie,Vrouwelijk,02/02/2019
Ninove,Kristien,Vrouwelijk,02/02/2019
Binche,Michele,Mannelijk,02/04/2019
Marche-en-Famenne,Pascaline,Vrouwelijk,01/24/2019
Menen,Toby,Mannelijk,02/06/2019
Sint-Jans-Molenbeek,William,Mannelijk,02/05/2019
Antwerpen,Nada,Vrouwelijk,01/31/2019
Walhain,Benjamin,Mannelijk,02/05/2019
Sint-Jans-Molenbeek,Andrée,Vrouwelijk,02/09/2019
Brussel,Martine,Vrouwelijk,02/22/2019
Tielt (Tielt),Patrick,Mannelijk,02/13/2019
Zutendaal,Dennis,Mannelijk,02/02/2019
Hasselt,Dorien,Vrouwelijk,02/10/2019
Bree,Raf,Mannelijk,02/02/2019
Ternat,Paula,Vrouwelijk,01/31/2019
Schaarbeek,Firdaous,Vrouwelijk,02/13/2019
Charleroi,Olivia,Vrouwelijk,02/04/2019
Sint-Truiden,Beatrijs,Vrouwelijk,02/06/2019
Gembloux,Marie,Vrouwelijk,02/08/2019
Puurs-Sint-Amands,Ann,Vrouwelijk,02/21/2019
Aartselaar,Jozef,Mannelijk,01/27/2019
Lasne,Victoria,Vrouwelijk,02/24/2019
Elsene,Daniela,Vrouwelijk,02/06/2019
Sint-Niklaas (Sint-Niklaas),Véronique,Vrouwelijk,01/30/2019
Puurs-Sint-Amands,Koen,Mannelijk,02/02/2019
Kuurne,Rita,Vrouwelijk,02/02/2019
Mechelen,Pascale,Vrouwelijk,01/30/2019
Koksijde,Hilde,Vrouwelijk,01/26/2019
