gemeente,naam,geslacht,verwachte datum
Ukkel,Hiba,Vrouwelijk,07/10/2019
Aywaille,Christine,Vrouwelijk,06/30/2019
Lubbeek,Geertrui,Vrouwelijk,07/10/2019
Bocholt,Rina,Vrouwelijk,06/25/2019
Kortenberg,Robbe,Mannelijk,07/08/2019
Namen,Erika,Vrouwelijk,08/24/2019
Tienen,Tom,Mannelijk,06/24/2019
Charleroi,Eloïse,Vrouwelijk,06/27/2019
Dalhem,Isabelle,Vrouwelijk,07/02/2019
Neupré,Sarah,Vrouwelijk,07/05/2019
Brussel,Wouter,Mannelijk,07/14/2019
Stavelot,Eric,Mannelijk,07/11/2019
Gent,Charlotte,Vrouwelijk,07/03/2019
Eigenbrakel,Alfred,Mannelijk,07/05/2019
Orp-Jauche,Dominique,Vrouwelijk,07/18/2019
Ciney,Jean-Pierre,Mannelijk,07/05/2019
Bilzen,Ronny,Mannelijk,07/05/2019
Roeselare,Wout,Mannelijk,07/06/2019
Diest,Maria,Vrouwelijk,07/03/2019
Veurne,Annelien,Vrouwelijk,07/06/2019
Kinrooi,Dorothea,Vrouwelijk,07/16/2019
Rixensart,Candice,Vrouwelijk,07/20/2019
Landen,Lisa,Vrouwelijk,07/13/2019
Moeskroen,Kelyan,Mannelijk,07/04/2019
Torhout,Saskia,Vrouwelijk,07/08/2019
Zandhoven,Jeanne,Vrouwelijk,06/26/2019
Sint-Genesius-Rode,Sarah,Vrouwelijk,07/12/2019
’s Gravenbrakel,Eric,Mannelijk,06/25/2019
Heusden-Zolder,Ronnie,Mannelijk,07/01/2019
Lochristi,Luc,Mannelijk,07/05/2019
Gent,Leni,Vrouwelijk,07/17/2019
Zinnik,Charlotte,Vrouwelijk,06/26/2019
Oostende,Marie,Vrouwelijk,06/29/2019
Saint-Nicolas (Luik),Tamara,Vrouwelijk,07/03/2019
Schaarbeek,Abdessamad,Mannelijk,07/02/2019
Nijlen,Louis,Mannelijk,06/30/2019
La Louvière,Emmanuelle,Vrouwelijk,07/06/2019
Anderlecht,Emilie,Vrouwelijk,07/04/2019
Jalhay,Joseph,Mannelijk,06/23/2019
La Louvière,Guillaume,Mannelijk,06/24/2019
Heist-op-den-Berg,An,Vrouwelijk,06/29/2019
Edingen,Agnès,Vrouwelijk,07/05/2019
Sint-Truiden,Liliane,Vrouwelijk,06/29/2019
Antwerpen,Lina,Vrouwelijk,06/27/2019
Aalst (Aalst),Peter,Mannelijk,07/08/2019
Elsene,Sarah,Vrouwelijk,07/09/2019
Antwerpen,Louis,Mannelijk,06/23/2019
Bütgenbach,Dirk,Mannelijk,08/17/2019
Leopoldsburg,Marina,Vrouwelijk,07/24/2019
Oostrozebeke,Joke,Vrouwelijk,07/06/2019
Luik,Marie,Vrouwelijk,07/10/2019
Vorst (Brussel-Hoofdstad),Alex,Mannelijk,07/03/2019
Gent,Ahmad,Mannelijk,07/03/2019
Remicourt,Fabienne,Vrouwelijk,07/25/2019
Bièvre,Christian,Mannelijk,07/02/2019
Doornik,Virginie,Vrouwelijk,07/02/2019
Weismes,Chloé,Vrouwelijk,07/05/2019
Tongeren,Guido,Mannelijk,07/12/2019
Colfontaine,Stéphanie,Vrouwelijk,07/02/2019
Kluisbergen,Annelies,Vrouwelijk,07/02/2019
Antwerpen,Alfons,Mannelijk,07/01/2019
Mechelen,Patrick,Mannelijk,07/24/2019
La Louvière,Julien,Mannelijk,07/19/2019
Ans,Isabelle,Vrouwelijk,06/27/2019
Gent,Nesibe,Vrouwelijk,07/04/2019
Assenede,Cyriel,Mannelijk,07/06/2019
Luik,Jean,Mannelijk,07/02/2019
Linter,Seppe,Mannelijk,07/24/2019
Machelen (Halle-Vilvoorde),Amina,Vrouwelijk,07/02/2019
Antwerpen,Daisy,Vrouwelijk,07/01/2019
