gemeente,naam,geslacht,verwachte datum
Etterbeek,Olivier,Mannelijk,09/02/2019
Herent,Anna,Vrouwelijk,08/18/2019
Mechelen,Riet,Vrouwelijk,09/05/2019
Oostende,Frederik,Mannelijk,08/25/2019
Hamois,Rita,Vrouwelijk,08/27/2019
Sint-Gillis,Robert,Mannelijk,09/05/2019
Brussel,Jawad,Mannelijk,08/24/2019
Mechelen,Ayoub,Mannelijk,08/23/2019
Heusden-Zolder,Arif,Mannelijk,08/19/2019
Wervik,Febe,Vrouwelijk,09/01/2019
Thimister-Clermont,Hervé,Mannelijk,08/22/2019
Brussel,Houda,Vrouwelijk,08/17/2019
Geel,Patrick,Mannelijk,09/21/2019
Deinze,Lieven,Mannelijk,08/25/2019
Tienen,Philippe,Mannelijk,08/27/2019
Kortrijk,Trui,Vrouwelijk,08/21/2019
Dour,Lydie,Vrouwelijk,08/22/2019
Wemmel,Alexander,Mannelijk,08/28/2019
Charleroi,Laora,Vrouwelijk,09/22/2019
Horebeke,André,Mannelijk,08/27/2019
Machelen (Halle-Vilvoorde),Nathalie,Vrouwelijk,08/22/2019
Waregem,Jeffrey,Mannelijk,09/10/2019
Herentals,Marc,Mannelijk,08/22/2019
Blankenberge,Steven,Mannelijk,08/23/2019
Anderlecht,Simona,Vrouwelijk,08/30/2019
Koksijde,Marianne,Vrouwelijk,08/23/2019
Charleroi,Maxime,Mannelijk,09/03/2019
Andenne,Marie-Thérèse,Vrouwelijk,09/01/2019
Jemeppe-sur-Sambre,Véronique,Vrouwelijk,08/28/2019
Antwerpen,Francine,Vrouwelijk,08/31/2019
Eghezée,Olivia,Vrouwelijk,08/29/2019
Marche-en-Famenne,Mustafa,Mannelijk,08/19/2019
Blegny,Louis,Mannelijk,08/29/2019
Herselt,Ingrid,Vrouwelijk,08/29/2019
Charleroi,Mario,Mannelijk,08/22/2019
Aat,Jacqueline,Vrouwelijk,08/22/2019
Sint-Katelijne-Waver,Linda,Vrouwelijk,09/11/2019
Brussel,Ziyad,Mannelijk,08/20/2019
Elsene,Gaston,Mannelijk,08/27/2019
Halen,Patrick,Mannelijk,08/31/2019
Antwerpen,Elliot,Mannelijk,08/29/2019
Kortrijk,Mila,Vrouwelijk,08/22/2019
Doornik,Simone,Vrouwelijk,08/24/2019
Hulshout,Liliane,Vrouwelijk,08/20/2019
Geel,Maria,Vrouwelijk,08/30/2019
Gerpinnes,Charles,Mannelijk,08/26/2019
Nieuwpoort,Steve,Mannelijk,08/18/2019
Sint-Pieters-Woluwe,Pablo,Mannelijk,08/20/2019
Gent,Rudolf,Mannelijk,08/29/2019
Gent,Jacqueline,Vrouwelijk,08/15/2019
Deinze,Klaas,Mannelijk,09/01/2019
Heuvelland,Dorine,Vrouwelijk,08/27/2019
Meerhout,Tess,Vrouwelijk,08/29/2019
Esneux,Ghislaine,Vrouwelijk,08/16/2019
Doornik,Catherine,Vrouwelijk,08/18/2019
Sint-Jans-Molenbeek,Samira,Vrouwelijk,08/29/2019
Schaarbeek,Zélie,Vrouwelijk,08/31/2019
Ninove,Walter,Mannelijk,08/25/2019
Berlare,Huguette,Vrouwelijk,09/21/2019
Zwijndrecht,Christel,Vrouwelijk,09/07/2019
Brussel,Amir,Mannelijk,08/27/2019
Ham-sur-Heure-Nalinnes,Gaëtan,Mannelijk,08/19/2019
Beerse,Leo,Mannelijk,08/24/2019
Halle (Halle-Vilvoorde),Eduard,Mannelijk,08/15/2019
Halen,Jan,Mannelijk,08/31/2019
Graven,Rita,Vrouwelijk,08/26/2019
Esneux,Juliette,Vrouwelijk,09/13/2019
Waregem,Anne-Marie,Vrouwelijk,08/15/2019
Balen,Martine,Vrouwelijk,08/20/2019
Oupeye,Benoit,Mannelijk,08/25/2019
Kortemark,Maria,Vrouwelijk,08/22/2019
Oudergem,Vincent,Mannelijk,08/27/2019
Herzele,Sien,Vrouwelijk,09/03/2019
Brugge,Simone,Vrouwelijk,09/19/2019
Hamont-Achel,Peter,Mannelijk,08/26/2019
Aywaille,Liliane,Vrouwelijk,09/13/2019
Elsene,Elisa,Vrouwelijk,08/23/2019
Genk,Rosalie,Vrouwelijk,08/17/2019
Sint-Pieters-Woluwe,Sarah,Vrouwelijk,09/14/2019
Mol,Jan,Mannelijk,08/28/2019
Zwijndrecht,Marc,Mannelijk,08/30/2019
Morlanwelz,Katty,Vrouwelijk,08/31/2019
Schaarbeek,Haroun,Mannelijk,08/26/2019
Habay,Lucas,Mannelijk,08/23/2019
Gent,Mohamad,Mannelijk,08/24/2019
Andenne,Frédéric,Mannelijk,09/04/2019
Sint-Niklaas (Sint-Niklaas),Anja,Vrouwelijk,08/29/2019
Hasselt,Thérèse,Vrouwelijk,08/24/2019
Gent,Nadine,Vrouwelijk,08/31/2019
Doornik,Claudine,Vrouwelijk,08/26/2019
Hechtel-Eksel,Johan,Mannelijk,09/02/2019
Seraing,Angélique,Vrouwelijk,09/11/2019
Luik,Delphine,Vrouwelijk,09/06/2019
Opwijk,Jeanne,Vrouwelijk,08/30/2019
Ukkel,Denise,Vrouwelijk,08/16/2019
Wezembeek-Oppem,Laurence,Vrouwelijk,08/29/2019
Jette,Nicolas,Mannelijk,08/31/2019
Bergen,Loris,Mannelijk,08/15/2019
Rijkevorsel,Ingrid,Vrouwelijk,08/31/2019
Schaarbeek,Bernadette,Vrouwelijk,08/19/2019
Beveren (Sint-Niklaas),Jeanne,Vrouwelijk,08/27/2019
Wingene,Camille,Vrouwelijk,08/26/2019
Oostende,Joël,Mannelijk,08/27/2019
De Panne,Roger,Mannelijk,08/25/2019
Waregem,Jeannine,Vrouwelijk,09/02/2019
Aalst (Aalst),Tony,Mannelijk,08/17/2019
Veurne,Stijn,Mannelijk,08/16/2019
Mechelen,Pauline,Vrouwelijk,08/26/2019
Florennes,Myriam,Vrouwelijk,09/15/2019
Lier,Thibault,Mannelijk,09/04/2019
Namen,Marc,Mannelijk,09/13/2019
Moeskroen,Regina,Vrouwelijk,08/17/2019
Boussu,Christine,Vrouwelijk,08/15/2019
Charleroi,Christian,Mannelijk,08/30/2019
Gent,Suzanne,Vrouwelijk,08/26/2019
Kraainem,Monique,Vrouwelijk,08/19/2019
Anderlecht,Mercedes,Vrouwelijk,08/22/2019
Charleroi,Jonathan,Mannelijk,08/16/2019
Sombreffe,Sébastien,Mannelijk,09/03/2019
Antwerpen,Andy,Mannelijk,09/15/2019
Oudergem,Karine,Vrouwelijk,09/02/2019
Kalmthout,Kathleen,Vrouwelijk,08/15/2019
Machelen (Halle-Vilvoorde),Linda,Vrouwelijk,08/31/2019
Boortmeerbeek,Bart,Mannelijk,09/03/2019
Charleroi,Didier,Mannelijk,09/04/2019
Roeselare,Silvie,Vrouwelijk,08/20/2019
Thuin,Sylvianne,Vrouwelijk,09/03/2019
Berloz,Ingrid,Vrouwelijk,08/25/2019
Ieper,Christiane,Vrouwelijk,08/23/2019
Bornem,Frank,Mannelijk,08/23/2019
Luik,Alain,Mannelijk,09/25/2019
Aalter,Ashley,Vrouwelijk,08/25/2019
Brugge,Jari,Mannelijk,08/25/2019
Dour,Lionel,Mannelijk,08/22/2019
Antwerpen,Steven,Mannelijk,09/02/2019
Binche,Giuseppe,Mannelijk,08/23/2019
Luik,Maria,Vrouwelijk,09/02/2019
Yvoir,Gaëtan,Mannelijk,08/31/2019
Zedelgem,Francis,Mannelijk,10/02/2019
Leuven,Dirk,Mannelijk,08/15/2019
Schilde,Gert,Mannelijk,08/30/2019
Oudenaarde,Sarah,Vrouwelijk,08/25/2019
Schaarbeek,Christian,Mannelijk,08/20/2019
Doornik,Vanessa,Vrouwelijk,08/26/2019
Ieper,Pieter,Mannelijk,08/23/2019
Lille,Steven,Mannelijk,08/19/2019
Ecaussinnes,Giovanni,Mannelijk,08/24/2019
Erpe-Mere,Denise,Vrouwelijk,08/29/2019
Antwerpen,Joanna,Vrouwelijk,08/29/2019
Jette,Mehdi,Mannelijk,08/22/2019
Mechelen,Eduard,Mannelijk,09/13/2019
Mechelen,Yasmin,Vrouwelijk,08/25/2019
Walhain,Jeanne,Vrouwelijk,08/25/2019
Nijvel,Marie,Vrouwelijk,08/28/2019
Esneux,Alexandre,Mannelijk,08/24/2019
Brussel,Fatima,Vrouwelijk,08/25/2019
Damme,Emma,Vrouwelijk,08/23/2019
Diest,Arno,Mannelijk,08/17/2019
Holsbeek,Odette,Vrouwelijk,09/01/2019
Antwerpen,Yara,Vrouwelijk,08/23/2019
Dendermonde,Jan,Mannelijk,08/30/2019
Sint-Niklaas (Sint-Niklaas),Vladimir,Mannelijk,09/16/2019
Overijse,Fabienne,Vrouwelijk,08/28/2019
Roeselare,Björn,Mannelijk,08/16/2019
Zedelgem,Marijke,Vrouwelijk,08/28/2019
Jemeppe-sur-Sambre,Boris,Mannelijk,08/31/2019
Antwerpen,Mohamed,Mannelijk,08/27/2019
Jette,Michèle,Vrouwelijk,08/16/2019
Bertem,Dieter,Mannelijk,08/25/2019
Charleroi,Victoria,Vrouwelijk,08/23/2019
Tienen,Didier,Mannelijk,09/09/2019
Moerbeke (Gent),Angèle,Vrouwelijk,09/02/2019
Antwerpen,Adolphina,Vrouwelijk,09/01/2019
Luik,Fatima,Vrouwelijk,09/01/2019
Lier,Elias,Mannelijk,08/16/2019
Kortemark,Francky,Mannelijk,08/27/2019
Assesse,Alain,Mannelijk,08/23/2019
Dendermonde,Patrick,Mannelijk,08/24/2019
Charleroi,Erol,Mannelijk,08/16/2019
Bilzen,Ella,Vrouwelijk,09/03/2019
Zwalm,Hans,Mannelijk,09/17/2019
Chaumont-Gistoux,Pascale,Vrouwelijk,09/07/2019
Dison,Thierry,Mannelijk,08/24/2019
Hasselt,Alfons,Mannelijk,08/27/2019
Herzele,Michaël,Mannelijk,09/03/2019
Oupeye,Clément,Mannelijk,08/30/2019
Beerse,Kristof,Mannelijk,08/25/2019
Gent,Fatima,Vrouwelijk,09/02/2019
Zelzate,Rony,Mannelijk,08/27/2019
Balen,Kathleen,Vrouwelijk,10/07/2019
Waver,Georges,Mannelijk,09/05/2019
Elsene,Stéphanie,Vrouwelijk,08/28/2019
Deerlijk,Johan,Mannelijk,09/04/2019
Kruibeke,Andreas,Mannelijk,08/30/2019
Namen,Françoise,Vrouwelijk,08/26/2019
Zedelgem,Ingrid,Vrouwelijk,08/23/2019
Ledegem,Godelieve,Vrouwelijk,09/03/2019
Liedekerke,Marie,Vrouwelijk,08/26/2019
Sint-Gillis,Nina,Vrouwelijk,09/04/2019
Antwerpen,Ivo,Mannelijk,09/04/2019
Antwerpen,Erna,Vrouwelijk,08/28/2019
Ardooie,Pieter,Mannelijk,08/24/2019
Heers,Elisa,Vrouwelijk,08/26/2019
Brussel,Kimberly,Vrouwelijk,09/14/2019
Sint-Jans-Molenbeek,Alexis,Mannelijk,08/25/2019
Ciney,Timéo,Mannelijk,08/28/2019
Kalmthout,Johannes,Mannelijk,08/25/2019
Vorst (Brussel-Hoofdstad),Fatima,Vrouwelijk,09/05/2019
