gemeente,naam,geslacht,verwachte datum
Bilzen,Anja,Vrouwelijk,03/19/2019
Antwerpen,Enrico,Mannelijk,03/27/2019
Hooglede,Lieven,Mannelijk,04/04/2019
Waregem,Luc,Mannelijk,03/21/2019
Wielsbeke,Marie-Jeanne,Vrouwelijk,03/30/2019
Lille,Lien,Vrouwelijk,03/22/2019
Kapelle-op-den-Bos,Vicky,Vrouwelijk,03/12/2019
Tienen,Anna,Vrouwelijk,03/24/2019
Meulebeke,Dirk,Mannelijk,03/30/2019
Verviers,Abdul,Mannelijk,03/24/2019
Chimay,Annette,Vrouwelijk,03/23/2019
Merelbeke,Jef,Mannelijk,03/28/2019
Olen,André,Mannelijk,04/02/2019
Antwerpen,Rita,Vrouwelijk,03/23/2019
Fontaine-l’Evêque,Rudy,Mannelijk,04/13/2019
Balen,Elise,Vrouwelijk,03/24/2019
Balen,Shana,Vrouwelijk,04/09/2019
Jabbeke,Robbe,Mannelijk,03/28/2019
Maaseik,Davy,Mannelijk,03/25/2019
Antwerpen,Erik,Mannelijk,03/25/2019
Mont-Saint-Guibert,Valérie,Vrouwelijk,03/23/2019
Putte,Hannelore,Vrouwelijk,03/14/2019
Beringen,Maxim,Mannelijk,03/13/2019
Doornik,Célestin,Mannelijk,03/26/2019
Vorselaar,Lien,Vrouwelijk,03/24/2019
Aiseau-Presles,Jessica,Vrouwelijk,03/20/2019
Rixensart,Danièle,Vrouwelijk,03/19/2019
Gouvy,Nicolas,Mannelijk,04/04/2019
Zoersel,Guido,Mannelijk,03/26/2019
Ramillies,Patrick,Mannelijk,03/19/2019
Brussel,Chris,Mannelijk,03/28/2019
Binche,Sabrina,Vrouwelijk,03/13/2019
Gent,Thibault,Mannelijk,03/23/2019
Vorst (Brussel-Hoofdstad),Maude,Vrouwelijk,03/23/2019
Koksijde,Eline,Vrouwelijk,03/27/2019
Anderlecht,Micheline,Vrouwelijk,03/31/2019
Sint-Pieters-Woluwe,Nicolas,Mannelijk,03/17/2019
Oupeye,Nina,Vrouwelijk,03/25/2019
Waregem,Guido,Mannelijk,03/18/2019
Maasmechelen,Recep,Mannelijk,03/28/2019
Kinrooi,Josephina,Vrouwelijk,03/13/2019
Oudergem,Eliza,Vrouwelijk,03/11/2019
Antwerpen,Anas,Mannelijk,03/13/2019
Vleteren,Nancy,Vrouwelijk,03/18/2019
Chiny,Richard,Mannelijk,03/27/2019
Oostkamp,Gilbert,Mannelijk,03/24/2019
Geel,Bert,Mannelijk,03/15/2019
Pelt,Ilana,Vrouwelijk,03/27/2019
Lier,Dirk,Mannelijk,03/22/2019
Saint-Ghislain,Timéo,Mannelijk,03/22/2019
Maasmechelen,Wendy,Vrouwelijk,03/23/2019
Kelmis,Nicole,Vrouwelijk,03/16/2019
Antwerpen,Julia,Vrouwelijk,03/20/2019
Ukkel,Patricia,Vrouwelijk,03/29/2019
Balen,Jozef,Mannelijk,03/25/2019
Berlaar,Geert,Mannelijk,03/12/2019
Brussel,Stéphanie,Vrouwelijk,03/11/2019
Antwerpen,Carolina,Vrouwelijk,03/13/2019
Wingene,Finn,Mannelijk,03/14/2019
Hamme (Dendermonde),Daniel,Mannelijk,03/28/2019
Leuven,Hans,Mannelijk,03/15/2019
La Louvière,Jean,Mannelijk,03/25/2019
Menen,Rebecca,Vrouwelijk,04/12/2019
Tremelo,Sam,Mannelijk,03/21/2019
Roeselare,Justine,Vrouwelijk,04/09/2019
Westerlo,Stephanie,Vrouwelijk,04/05/2019
Wingene,Maurice,Mannelijk,04/06/2019
Zwevegem,Xander,Mannelijk,03/21/2019
Brasschaat,Anthony,Mannelijk,03/18/2019
Zonnebeke,Fran,Vrouwelijk,03/29/2019
Bütgenbach,Walter,Mannelijk,03/25/2019
Aat,Gladys,Vrouwelijk,04/09/2019
Knokke-Heist,Marleen,Vrouwelijk,04/02/2019
La Louvière,Patricia,Vrouwelijk,03/18/2019
Ans,Rachida,Vrouwelijk,04/14/2019
Langemark-Poelkapelle,Annie,Vrouwelijk,03/11/2019
Namen,Françoise,Vrouwelijk,03/18/2019
Lokeren,Tom,Mannelijk,03/19/2019
Willebroek,Rosette,Vrouwelijk,03/16/2019
Ottignies-Louvain-la-Neuve,Sandrine,Vrouwelijk,03/22/2019
Antwerpen,M'Hamed,Mannelijk,03/22/2019
Quaregnon,Steve,Mannelijk,03/23/2019
Farciennes,Josette,Vrouwelijk,03/16/2019
Antwerpen,Zahra,Vrouwelijk,03/22/2019
Dilsen-Stokkem,Veerle,Vrouwelijk,03/22/2019
Koekelberg,Mostafa,Mannelijk,03/22/2019
Frameries,Laetitia,Vrouwelijk,03/23/2019
Lier,Ingrid,Vrouwelijk,05/02/2019
Tubeke,Tom,Mannelijk,03/20/2019
Halle (Halle-Vilvoorde),Marc,Mannelijk,03/20/2019
Tubeke,Marcel,Mannelijk,03/27/2019
Ukkel,Ulysse,Mannelijk,03/22/2019
Sint-Niklaas (Sint-Niklaas),Eduard,Mannelijk,03/21/2019
Schaarbeek,Adrian,Mannelijk,03/23/2019
Charleroi,Jana,Vrouwelijk,03/21/2019
Antwerpen,Najiba,Vrouwelijk,03/17/2019
Edegem,Maria,Vrouwelijk,03/23/2019
Lokeren,Kevin,Mannelijk,04/05/2019
Anhée,Pascal,Mannelijk,03/25/2019
Lier,Hedwig,Mannelijk,03/29/2019
Gent,Godelieve,Vrouwelijk,03/22/2019
Lokeren,Fabian,Mannelijk,03/18/2019
Geel,Toon,Mannelijk,03/31/2019
Luik,Hélène,Vrouwelijk,03/28/2019
Sint-Joost-ten-Node,Fatiha,Vrouwelijk,03/23/2019
Incourt,Florence,Vrouwelijk,03/21/2019
Ukkel,Jonathan,Mannelijk,03/18/2019
Turnhout,Lander,Mannelijk,03/15/2019
Kapellen (Antwerpen),Odette,Vrouwelijk,03/23/2019
Gent,Nina,Vrouwelijk,03/15/2019
Antwerpen,Ursula,Vrouwelijk,03/31/2019
Oosterzele,Laurent,Mannelijk,03/27/2019
Temse,Sinan,Mannelijk,04/12/2019
Schaarbeek,Pierre,Mannelijk,03/21/2019
Oostende,Urbain,Mannelijk,03/27/2019
Oudergem,Maya,Vrouwelijk,04/14/2019
Putte,Agnes,Vrouwelijk,03/22/2019
Marchin,Jason,Mannelijk,03/31/2019
Namen,Charlotte,Vrouwelijk,03/23/2019
Brugge,Paul,Mannelijk,03/21/2019
Heist-op-den-Berg,Senne,Mannelijk,03/12/2019
Awans,Jérémy,Mannelijk,03/19/2019
Geel,Alan,Mannelijk,03/29/2019
Quaregnon,Francine,Vrouwelijk,04/06/2019
Attert,Thomas,Mannelijk,03/25/2019
Westerlo,Floor,Vrouwelijk,04/15/2019
Lochristi,Christian,Mannelijk,03/22/2019
Willebroek,Tom,Mannelijk,03/19/2019
Heusden-Zolder,Jurgen,Mannelijk,03/20/2019
Geel,Fatima,Vrouwelijk,03/31/2019
Frasnes-lez-Anvaing,Roland,Mannelijk,03/12/2019
Putte,Anna,Vrouwelijk,03/24/2019
Middelkerke,Astrid,Vrouwelijk,03/18/2019
Etterbeek,Ronald,Mannelijk,03/14/2019
Zulte,Regina,Vrouwelijk,03/26/2019
Rumst,Robbe,Mannelijk,03/21/2019
Antwerpen,Annie,Vrouwelijk,03/19/2019
Zulte,Alexandra,Vrouwelijk,03/27/2019
Waregem,Thomas,Mannelijk,03/21/2019
Zinnik,Claude,Mannelijk,03/30/2019
Elsene,Maximilian,Mannelijk,03/30/2019
Bergen,Martine,Vrouwelijk,03/21/2019
Montigny-le-Tilleul,Marcelle,Vrouwelijk,03/19/2019
Heusden-Zolder,Eva,Vrouwelijk,03/28/2019
Charleroi,Dylan,Mannelijk,03/26/2019
Wevelgem,Annelies,Vrouwelijk,03/22/2019
Antwerpen,François,Mannelijk,03/30/2019
Anderlecht,Olivier,Mannelijk,03/19/2019
Gent,Kasper,Mannelijk,03/24/2019
Tenneville,Julien,Mannelijk,03/31/2019
Nieuwpoort,Urbain,Mannelijk,03/21/2019
Jette,Tatiana,Vrouwelijk,03/22/2019
Hasselt,Christophe,Mannelijk,04/07/2019
Beveren (Sint-Niklaas),Danny,Mannelijk,03/15/2019
Brugge,Germain,Mannelijk,03/28/2019
Moorslede,Michel,Mannelijk,03/13/2019
Jette,Selma,Vrouwelijk,03/11/2019
Anderlecht,Fadoua,Vrouwelijk,04/07/2019
Antwerpen,Adam,Mannelijk,03/15/2019
Erquelinnes,Isabelle,Vrouwelijk,03/30/2019
Raeren,Franz,Mannelijk,03/24/2019
Tervuren,Marie-Claire,Vrouwelijk,03/17/2019
Herzele,Lutgarde,Vrouwelijk,03/18/2019
Boom,Josée,Vrouwelijk,04/09/2019
Kortenberg,Clara,Vrouwelijk,03/30/2019
Heist-op-den-Berg,Lowie,Mannelijk,03/14/2019
Houthulst,Christine,Vrouwelijk,03/19/2019
Merchtem,Frans,Mannelijk,03/26/2019
Schaarbeek,Petru,Mannelijk,03/31/2019
Brugge,Anna,Vrouwelijk,04/12/2019
Sint-Jans-Molenbeek,Farah,Vrouwelijk,03/23/2019
Poperinge,Caroline,Vrouwelijk,03/19/2019
Mechelen,Adriaan,Mannelijk,03/30/2019
Charleroi,Anna,Vrouwelijk,03/11/2019
Londerzeel,Liam,Mannelijk,03/19/2019
Gent,Amber,Vrouwelijk,03/30/2019
Erquelinnes,Marie-Claude,Vrouwelijk,03/18/2019
Dendermonde,Astrid,Vrouwelijk,03/13/2019
Tessenderlo,Ine,Vrouwelijk,03/13/2019
Lokeren,Rosita,Vrouwelijk,03/21/2019
Ieper,Emmanuel,Mannelijk,05/14/2019
Genepiën,Mathieu,Mannelijk,04/03/2019
Lier,Guy,Mannelijk,03/25/2019
Schaarbeek,Nevriye,Vrouwelijk,04/13/2019
Bornem,Julius,Mannelijk,03/13/2019
Rotselaar,Ellen,Vrouwelijk,03/18/2019
Anderlecht,Benjamin,Mannelijk,03/22/2019
Lokeren,Lore,Vrouwelijk,03/27/2019
Puurs-Sint-Amands,Josée,Vrouwelijk,03/23/2019
Leuven,Valentina,Vrouwelijk,03/24/2019
Antwerpen,Gerda,Vrouwelijk,03/15/2019
Linkebeek,Philippe,Mannelijk,03/27/2019
Gent,Elisabeth,Vrouwelijk,04/08/2019
Kapelle-op-den-Bos,Kevin,Mannelijk,03/26/2019
Ottignies-Louvain-la-Neuve,Catherine,Vrouwelijk,05/03/2019
Kortrijk,Edgar,Mannelijk,03/19/2019
Anderlecht,Amal,Vrouwelijk,03/27/2019
Leuven,Luc,Mannelijk,04/09/2019
Vorst (Brussel-Hoofdstad),Béatrice,Vrouwelijk,03/21/2019
Sint-Niklaas (Sint-Niklaas),Christine,Vrouwelijk,03/22/2019
Luik,Albert,Mannelijk,03/18/2019
Sint-Jans-Molenbeek,Jeanne,Vrouwelijk,03/28/2019
Juprelle,Vanessa,Vrouwelijk,04/09/2019
Roeselare,Tonny,Mannelijk,03/24/2019
Antwerpen,Katrien,Vrouwelijk,03/31/2019
Kortenaken,Kathleen,Vrouwelijk,04/16/2019
Deinze,Kristof,Mannelijk,03/26/2019
Zedelgem,Patrick,Mannelijk,04/12/2019
Herstal,Céline,Vrouwelijk,03/20/2019
Kortrijk,Johan,Mannelijk,03/19/2019
Seraing,Nicole,Vrouwelijk,03/28/2019
Rebecq,Alicia,Vrouwelijk,03/29/2019
Charleroi,Francisco,Mannelijk,03/29/2019
’s Gravenbrakel,Melissa,Vrouwelijk,03/11/2019
Denderleeuw,Marie,Vrouwelijk,03/31/2019
Ukkel,Giuseppe,Mannelijk,03/23/2019
Asse,Godelieve,Vrouwelijk,03/20/2019
Kortrijk,Cecile,Vrouwelijk,03/12/2019
Sint-Jans-Molenbeek,Nada,Vrouwelijk,03/21/2019
Landen,Sarah,Vrouwelijk,03/30/2019
Kasterlee,Bob,Mannelijk,03/22/2019
Sint-Gillis,Cécile,Vrouwelijk,04/05/2019
Brugge,Eva,Vrouwelijk,03/12/2019
Evergem,Karien,Vrouwelijk,03/30/2019
Gent,Brian,Mannelijk,04/05/2019
Schaarbeek,Youcef,Mannelijk,03/24/2019
Ciney,Laurent,Mannelijk,04/10/2019
Malle,Bart,Mannelijk,03/20/2019
Hoogstraten,Marcel,Mannelijk,03/28/2019
Willebroek,Jeanne,Vrouwelijk,03/11/2019
Antwerpen,Bernard,Mannelijk,03/31/2019
Jette,Benoît,Mannelijk,03/19/2019
Sint-Lambrechts-Woluwe,Didier,Mannelijk,03/22/2019
Sainte-Ode,Ginette,Vrouwelijk,03/18/2019
Châtelet,Jonathan,Mannelijk,03/20/2019
Tremelo,Jan,Mannelijk,03/28/2019
Bree,Paul,Mannelijk,05/16/2019
Peer,Anna,Vrouwelijk,03/25/2019
Elsene,Tanja,Vrouwelijk,03/30/2019
Anderlecht,Fabienne,Vrouwelijk,03/22/2019
Sint-Truiden,Evi,Vrouwelijk,03/12/2019
Antwerpen,Nico,Mannelijk,03/17/2019
Fernelmont,Amandine,Vrouwelijk,03/20/2019
Luik,Salwa,Vrouwelijk,03/23/2019
Binche,Aurore,Vrouwelijk,03/19/2019
Flémalle,Steven,Mannelijk,03/19/2019
Aalst (Aalst),Frida,Vrouwelijk,03/15/2019
Brugge,Joost,Mannelijk,03/18/2019
Fléron,Lucas,Mannelijk,03/21/2019
Tubeke,Maëlys,Vrouwelijk,03/28/2019
Plombières,André,Mannelijk,03/18/2019
Bilzen,Brecht,Mannelijk,03/20/2019
Theux,Christiane,Vrouwelijk,03/13/2019
Ardooie,Filip,Mannelijk,03/23/2019
Jette,Ziyad,Mannelijk,03/28/2019
Leuven,Lore,Vrouwelijk,03/30/2019
Sint-Jans-Molenbeek,Hajar,Vrouwelijk,03/22/2019
Lontzen,Aline,Vrouwelijk,03/19/2019
Binche,Donato,Mannelijk,03/31/2019
Doornik,Bernard,Mannelijk,03/24/2019
Brussel,Anton,Mannelijk,04/11/2019
Sint-Niklaas (Sint-Niklaas),Dries,Mannelijk,03/19/2019
Eupen,Manuel,Mannelijk,03/14/2019
Verviers,Denise,Vrouwelijk,04/05/2019
Beveren (Sint-Niklaas),Sandra,Vrouwelijk,03/17/2019
Poperinge,Jonathan,Mannelijk,03/14/2019
Namen,Hadrien,Mannelijk,03/22/2019
Lubbeek,Maria,Vrouwelijk,03/29/2019
Dendermonde,Liam,Mannelijk,03/25/2019
Schaarbeek,Pascal,Mannelijk,04/13/2019
Schoten,Marijke,Vrouwelijk,03/15/2019
Juprelle,Sophie,Vrouwelijk,03/28/2019
Mol,Greta,Vrouwelijk,03/22/2019
Luik,Vincent,Mannelijk,03/13/2019
Bergen,Maxime,Mannelijk,03/14/2019
Evere,Noé,Mannelijk,03/26/2019
Ottignies-Louvain-la-Neuve,Marie,Vrouwelijk,03/19/2019
Kuurne,Luc,Mannelijk,03/29/2019
Geel,Gilbert,Mannelijk,03/24/2019
Gent,Serge,Mannelijk,03/30/2019
Anderlecht,Amira,Vrouwelijk,03/20/2019
Edegem,Tom,Mannelijk,03/11/2019
Mettet,Willy,Mannelijk,03/27/2019
Brugge,Charlotte,Vrouwelijk,03/28/2019
Weismes,Jérémy,Mannelijk,03/24/2019
Sint-Truiden,Johan,Mannelijk,03/11/2019
Schaarbeek,Adriano,Mannelijk,03/13/2019
Eghezée,Clémentine,Vrouwelijk,03/29/2019
Nazareth,Michael,Mannelijk,04/03/2019
Wezet,Ethan,Mannelijk,04/05/2019
Rumst,Brigitte,Vrouwelijk,03/20/2019
Antwerpen,Auguste,Mannelijk,04/12/2019
Zoersel,Frieda,Vrouwelijk,03/18/2019
Plombières,Pierre,Mannelijk,03/17/2019
Antwerpen,Kasandra,Vrouwelijk,03/23/2019
Genk,Giorgio,Mannelijk,05/15/2019
Fernelmont,Sabine,Vrouwelijk,03/19/2019
Sint-Niklaas (Sint-Niklaas),Naser,Mannelijk,03/14/2019
Doornik,Paul,Mannelijk,03/19/2019
Wervik,Yvette,Vrouwelijk,03/11/2019
Evere,Elisa,Vrouwelijk,03/20/2019
Charleroi,Clémence,Vrouwelijk,03/13/2019
Charleroi,Maryne,Vrouwelijk,03/15/2019
Beveren (Sint-Niklaas),Liliane,Vrouwelijk,03/18/2019
Sint-Gillis-Waas,Linda,Vrouwelijk,03/25/2019
Zwevegem,Ellen,Vrouwelijk,03/14/2019
Sint-Joost-ten-Node,Marius,Mannelijk,03/16/2019
Mechelen,Emily,Vrouwelijk,03/22/2019
Amay,Laetitia,Vrouwelijk,04/04/2019
Brugge,Philip,Mannelijk,03/25/2019
Denderleeuw,Hannah,Vrouwelijk,03/14/2019
Kortrijk,Michel,Mannelijk,03/19/2019
Dinant,Thyméo,Mannelijk,03/31/2019
Steenokkerzeel,Leo,Mannelijk,03/16/2019
Vorst (Brussel-Hoofdstad),Viorel,Mannelijk,03/28/2019
Ottignies-Louvain-la-Neuve,Guillaume,Mannelijk,03/24/2019
Bastenaken,Nicolas,Mannelijk,03/21/2019
Theux,Dominique,Vrouwelijk,03/27/2019
Aalst (Aalst),Diane,Vrouwelijk,04/11/2019
