gemeente,naam,geslacht,verwachte datum
Andenne,Jade,Vrouwelijk,08/30/2019
Waver,Anne,Vrouwelijk,08/07/2019
Oostende,Didier,Mannelijk,08/10/2019
Chaudfontaine,José,Mannelijk,08/02/2019
Luik,Jean,Mannelijk,08/09/2019
Middelkerke,Agnes,Vrouwelijk,07/31/2019
Fontaine-l’Evêque,Corrado,Mannelijk,08/13/2019
Sint-Niklaas (Sint-Niklaas),Abdelkarim,Mannelijk,08/09/2019
Léglise,Laurence,Vrouwelijk,08/08/2019
Pelt,Davy,Mannelijk,08/30/2019
Walcourt,Monique,Vrouwelijk,08/19/2019
Brussel,Gabrielle,Vrouwelijk,08/19/2019
Tremelo,Nancy,Vrouwelijk,08/08/2019
Sint-Jans-Molenbeek,Irène,Vrouwelijk,08/09/2019
Putte,Marc,Mannelijk,08/24/2019
Gent,René,Mannelijk,08/11/2019
Vosselaar,Luc,Mannelijk,08/27/2019
Denderleeuw,Vince,Mannelijk,08/26/2019
Eigenbrakel,Etienne,Mannelijk,08/12/2019
Leuven,Marijke,Vrouwelijk,08/07/2019
Aalst (Aalst),Vicky,Vrouwelijk,08/20/2019
Geel,Maria,Vrouwelijk,08/15/2019
Koekelberg,Rahma,Vrouwelijk,08/19/2019
Eigenbrakel,Sabine,Vrouwelijk,07/31/2019
Chièvres,Viviane,Vrouwelijk,08/18/2019
Gent,Eddy,Mannelijk,08/05/2019
Namen,Josiane,Vrouwelijk,08/06/2019
Brugge,Agnes,Vrouwelijk,08/12/2019
Gembloux,Chloé,Vrouwelijk,08/09/2019
Oudergem,Ali,Mannelijk,08/25/2019
Herstal,Alexandre,Mannelijk,08/08/2019
Wezembeek-Oppem,Chantal,Vrouwelijk,08/10/2019
Glabbeek,Maria,Vrouwelijk,08/08/2019
Zoersel,Stan,Mannelijk,08/06/2019
Profondeville,Julie,Vrouwelijk,08/04/2019
Leuven,Timo,Mannelijk,08/19/2019
Luik,Maryse,Vrouwelijk,08/31/2019
Ottignies-Louvain-la-Neuve,Nina,Vrouwelijk,08/13/2019
Hooglede,Lore,Vrouwelijk,08/07/2019
Edegem,Georges,Mannelijk,08/23/2019
La Louvière,Jean-Louis,Mannelijk,08/14/2019
Antwerpen,Patrick,Mannelijk,08/23/2019
Kortrijk,David,Mannelijk,08/11/2019
Dendermonde,Tijs,Mannelijk,08/12/2019
Merchtem,Marleen,Vrouwelijk,09/24/2019
Kasterlee,Laurens,Mannelijk,08/18/2019
Affligem,Linda,Vrouwelijk,08/11/2019
Brussel,Adrien,Mannelijk,08/10/2019
Hoei,Angelo,Mannelijk,08/12/2019
Chapelle-lez-Herlaimont,Jason,Mannelijk,08/22/2019
Geel,Brecht,Mannelijk,08/08/2019
Hannuit,Jean,Mannelijk,08/13/2019
Lochristi,Eddy,Mannelijk,08/08/2019
Sint-Jans-Molenbeek,Hicham,Mannelijk,08/11/2019
Ninove,Chris,Mannelijk,08/06/2019
Léglise,Marie,Vrouwelijk,08/08/2019
Ninove,Willy,Mannelijk,08/05/2019
Geraardsbergen,Nancy,Vrouwelijk,08/02/2019
Sprimont,Pierre,Mannelijk,08/13/2019
Genk,Lydia,Vrouwelijk,08/07/2019
Charleroi,Maria,Vrouwelijk,08/22/2019
Kapellen (Antwerpen),Hilde,Vrouwelijk,08/07/2019
Antwerpen,Nadia,Vrouwelijk,08/10/2019
Watermaal-Bosvoorde,Sylvie,Vrouwelijk,08/16/2019
Brugge,Roland,Mannelijk,08/07/2019
Deinze,Gino,Mannelijk,08/14/2019
Anzegem,Bram,Mannelijk,08/19/2019
Meise,Joseph,Mannelijk,08/01/2019
Gooik,Hilde,Vrouwelijk,09/02/2019
Oostende,Inge,Vrouwelijk,08/12/2019
Sint-Jans-Molenbeek,Monique,Vrouwelijk,08/22/2019
Schaarbeek,Elisabeth,Vrouwelijk,08/15/2019
