gemeente,naam,geslacht,verwachte datum
Sint-Jans-Molenbeek,Lucienne,Vrouwelijk,04/22/2019
Manage,Maël,Mannelijk,04/18/2019
Waterloo,Florent,Mannelijk,04/22/2019
Melle,Anna,Vrouwelijk,04/27/2019
Juprelle,Jacques,Mannelijk,05/01/2019
Estinnes,Maryse,Vrouwelijk,05/09/2019
Ukkel,Grégoire,Mannelijk,04/19/2019
Lierneux,Fabienne,Vrouwelijk,04/18/2019
Hasselt,Marie-Josée,Vrouwelijk,04/18/2019
Machelen (Halle-Vilvoorde),Daniel,Mannelijk,04/25/2019
Brussel,Francine,Vrouwelijk,04/10/2019
Sint-Pieters-Woluwe,Raphaël,Mannelijk,04/15/2019
Malmedy,Louis,Mannelijk,04/26/2019
Jette,Nicole,Vrouwelijk,06/02/2019
Beveren (Sint-Niklaas),Michael,Mannelijk,05/09/2019
Waasmunster,Nicky,Vrouwelijk,04/17/2019
Lummen,Erik,Mannelijk,04/15/2019
Sint-Lambrechts-Woluwe,David,Mannelijk,04/25/2019
Luik,Richard,Mannelijk,04/07/2019
Namen,Daniel,Mannelijk,04/17/2019
Antwerpen,Marina,Vrouwelijk,04/19/2019
Lasne,Alexia,Vrouwelijk,04/24/2019
Couvin,Théo,Mannelijk,04/14/2019
Antwerpen,Natalia,Vrouwelijk,04/13/2019
Meise,Joëlle,Vrouwelijk,04/30/2019
Retie,Simonne,Vrouwelijk,04/19/2019
Merelbeke,Milan,Mannelijk,04/11/2019
La Louvière,Ugo,Mannelijk,04/25/2019
Anderlecht,Veronica,Vrouwelijk,04/18/2019
Vilvoorde,Inas,Vrouwelijk,05/02/2019
Rumes,Kevin,Mannelijk,04/17/2019
Dendermonde,Kiana,Vrouwelijk,04/06/2019
Ramillies,Romain,Mannelijk,05/11/2019
Charleroi,Ana,Vrouwelijk,04/17/2019
Antwerpen,Szymon,Mannelijk,05/10/2019
Sint-Genesius-Rode,Godelieve,Vrouwelijk,04/16/2019
Charleroi,Claudine,Vrouwelijk,04/10/2019
Etterbeek,Luis,Mannelijk,05/10/2019
Mechelen,Rosalia,Vrouwelijk,05/09/2019
Brugge,René,Mannelijk,04/23/2019
Begijnendijk,Angèle,Vrouwelijk,04/24/2019
Brussel,Houda,Vrouwelijk,04/18/2019
Aartselaar,Hubert,Mannelijk,04/26/2019
Tongeren,Christiane,Vrouwelijk,04/15/2019
Luik,Marcelle,Vrouwelijk,04/13/2019
Leuven,Vincent,Mannelijk,04/26/2019
