gemeente,naam,geslacht,verwachte datum
Sint-Jans-Molenbeek,Yvonne,Vrouwelijk,11/18/2019
Bornem,Ernest,Mannelijk,11/20/2019
Sint-Niklaas (Sint-Niklaas),Guido,Mannelijk,12/31/2019
Schaarbeek,Anas,Mannelijk,12/10/2019
Plombières,Anaïs,Vrouwelijk,11/13/2019
Maasmechelen,Osman,Mannelijk,11/12/2019
Schaarbeek,Morgan,Mannelijk,11/16/2019
Brasschaat,Maria,Vrouwelijk,11/11/2019
Heist-op-den-Berg,Nora,Vrouwelijk,11/19/2019
Neupré,Danielle,Vrouwelijk,11/29/2019
Luik,Julien,Mannelijk,11/15/2019
Ham-sur-Heure-Nalinnes,Audrey,Vrouwelijk,11/17/2019
Bilzen,Monique,Vrouwelijk,11/18/2019
Moeskroen,Steeve,Mannelijk,11/24/2019
Antwerpen,Silke,Vrouwelijk,12/06/2019
Brussel,Azeddine,Mannelijk,11/30/2019
Seraing,Christian,Mannelijk,11/26/2019
Gent,Seppe,Mannelijk,11/19/2019
Leuven,Béatrice,Vrouwelijk,11/28/2019
Malmedy,Damien,Mannelijk,11/11/2019
Meise,Hugo,Mannelijk,11/24/2019
Rumst,Jan,Mannelijk,12/01/2019
Schaarbeek,Lirije,Vrouwelijk,12/11/2019
Oupeye,Gertrude,Vrouwelijk,12/09/2019
Incourt,Mathys,Mannelijk,12/06/2019
Sint-Pieters-Woluwe,Alfredo,Mannelijk,11/24/2019
Landen,Josiane,Vrouwelijk,11/16/2019
Jabbeke,Caroline,Vrouwelijk,11/19/2019
Genk,Fabio,Mannelijk,11/24/2019
Langemark-Poelkapelle,Jean-Pierre,Mannelijk,11/23/2019
Doornik,Laurence,Vrouwelijk,11/20/2019
Péruwelz,Marie,Vrouwelijk,11/22/2019
Antwerpen,Alexandra,Vrouwelijk,11/11/2019
Ohey,Aurore,Vrouwelijk,11/19/2019
Stabroek,Kenny,Mannelijk,12/13/2019
Leuven,Damian,Mannelijk,11/14/2019
Kasterlee,Elena,Vrouwelijk,11/17/2019
Yvoir,Georgette,Vrouwelijk,11/29/2019
Duffel,Christoph,Mannelijk,11/30/2019
Sint-Lambrechts-Woluwe,Thierry,Mannelijk,11/20/2019
Martelange,Thierry,Mannelijk,11/17/2019
Antwerpen,Joeri,Mannelijk,11/23/2019
Mechelen,Jasper,Mannelijk,11/26/2019
