gemeente,naam,geslacht,verwachte datum
Wemmel,Marie-Hélène,Vrouwelijk,09/24/2019
Herentals,Sarah,Vrouwelijk,10/04/2019
Halle (Halle-Vilvoorde),Ronny,Mannelijk,10/06/2019
Sint-Jans-Molenbeek,Grégory,Mannelijk,09/26/2019
Anhée,Sylvie,Vrouwelijk,09/18/2019
Lokeren,Yuna,Vrouwelijk,09/20/2019
Maasmechelen,Steven,Mannelijk,09/26/2019
Saint-Georges-sur-Meuse,Olivia,Vrouwelijk,11/13/2019
Neupré,Francis,Mannelijk,09/28/2019
Dinant,Maxime,Mannelijk,09/26/2019
Bonheiden,Suzanne,Vrouwelijk,09/22/2019
Sint-Katelijne-Waver,Amelia,Vrouwelijk,09/22/2019
Oudergem,Gabrielle,Vrouwelijk,09/26/2019
Dour,Delphine,Vrouwelijk,09/19/2019
Dilbeek,August,Mannelijk,09/19/2019
Sint-Jans-Molenbeek,Abdellah,Mannelijk,09/18/2019
Balen,Pieter,Mannelijk,09/21/2019
Binche,Fanny,Vrouwelijk,09/23/2019
Roeselare,Kelly,Vrouwelijk,09/25/2019
Diksmuide,Godelieve,Vrouwelijk,09/29/2019
Mechelen,Tamimount,Vrouwelijk,09/18/2019
Charleroi,Jean-Marc,Mannelijk,09/16/2019
Gent,Emiel,Mannelijk,09/19/2019
Kortrijk,Hein,Mannelijk,09/18/2019
Mettet,Aurélie,Vrouwelijk,09/24/2019
Tielt (Tielt),Carine,Vrouwelijk,09/21/2019
Destelbergen,Joseph,Mannelijk,09/17/2019
Rouvroy,Christophe,Mannelijk,11/18/2019
Wichelen,Christa,Vrouwelijk,09/15/2019
Anderlecht,Maria,Vrouwelijk,09/13/2019
Zemst,Jan,Mannelijk,09/27/2019
Pelt,Valerie,Vrouwelijk,09/25/2019
Anderlecht,Aline,Vrouwelijk,09/21/2019
Theux,Lucas,Mannelijk,09/25/2019
Floreffe,Jonas,Mannelijk,09/26/2019
Zedelgem,Koen,Mannelijk,09/17/2019
Tienen,Werner,Mannelijk,09/24/2019
Tienen,Pieter,Mannelijk,09/24/2019
Waterloo,Anne,Vrouwelijk,09/25/2019
Sankt Vith,Ralph,Mannelijk,09/27/2019
Lede,Luc,Mannelijk,09/28/2019
Linter,Wout,Mannelijk,09/23/2019
Gent,Dominique,Mannelijk,09/14/2019
Sombreffe,Cathy,Vrouwelijk,10/02/2019
Bierbeek,Paul,Mannelijk,09/25/2019
Kontich,Maria,Vrouwelijk,09/27/2019
Ranst,Sonja,Vrouwelijk,09/26/2019
Laarne,Bart,Mannelijk,09/25/2019
Seraing,Luciano,Mannelijk,09/25/2019
Zaventem,Didier,Mannelijk,09/28/2019
Beringen,Heidi,Vrouwelijk,09/25/2019
Dendermonde,Dennis,Mannelijk,09/17/2019
Turnhout,Larisa,Vrouwelijk,09/15/2019
Schaarbeek,Abdulaziz,Mannelijk,09/21/2019
Kortemark,Gilbert,Mannelijk,10/01/2019
Beveren (Sint-Niklaas),Stef,Mannelijk,09/29/2019
Zele,Paul,Mannelijk,09/14/2019
Seraing,Eugène,Mannelijk,10/29/2019
Châtelet,Jessica,Vrouwelijk,09/15/2019
Luik,Colette,Vrouwelijk,09/24/2019
Veurne,Marijke,Vrouwelijk,10/03/2019
Vorst (Brussel-Hoofdstad),Pascale,Vrouwelijk,09/23/2019
Beersel,Sandra,Vrouwelijk,09/26/2019
Etterbeek,Léo,Mannelijk,10/02/2019
Aarlen,Johan,Mannelijk,10/03/2019
Dilsen-Stokkem,Omar,Mannelijk,10/28/2019
Aarschot,August,Mannelijk,09/30/2019
Sint-Niklaas (Sint-Niklaas),Emilia,Vrouwelijk,09/25/2019
Wanze,Patrick,Mannelijk,10/02/2019
Etterbeek,Aurélie,Vrouwelijk,09/29/2019
Temse,Ingrid,Vrouwelijk,10/01/2019
Assenede,Frank,Mannelijk,10/15/2019
Genk,Maria,Vrouwelijk,10/07/2019
Court-Saint-Etienne,Patrice,Mannelijk,09/22/2019
Charleroi,Elodie,Vrouwelijk,09/28/2019
Antwerpen,Boris,Mannelijk,10/03/2019
Zandhoven,Vincent,Mannelijk,10/12/2019
Meulebeke,Lisa,Vrouwelijk,09/25/2019
Antwerpen,Jacob,Mannelijk,09/26/2019
Habay,Carine,Vrouwelijk,10/03/2019
Aalst (Aalst),Clementina,Vrouwelijk,09/29/2019
Antwerpen,Aicha,Vrouwelijk,09/16/2019
Oosterzele,Peter,Mannelijk,09/29/2019
Dalhem,Nicolas,Mannelijk,10/02/2019
Aalter,Michiel,Mannelijk,09/26/2019
Diest,Ladislav,Mannelijk,09/23/2019
Evergem,Marnix,Mannelijk,09/13/2019
’s Gravenbrakel,Franco,Mannelijk,09/22/2019
Bilzen,Tom,Mannelijk,09/19/2019
Pepinster,David,Mannelijk,09/28/2019
Anderlecht,Armelle,Vrouwelijk,09/20/2019
Knokke-Heist,Paul,Mannelijk,09/21/2019
Evere,Constantin,Mannelijk,10/03/2019
Leuven,Krzysztof,Mannelijk,09/21/2019
Antwerpen,Bernadette,Vrouwelijk,10/07/2019
Sint-Niklaas (Sint-Niklaas),Tony,Mannelijk,09/21/2019
Brugge,Jacqueline,Vrouwelijk,09/22/2019
Les Bons Villers,Jean,Mannelijk,10/14/2019
Quaregnon,Justine,Vrouwelijk,09/15/2019
Ieper,Stephanie,Vrouwelijk,10/07/2019
Nijvel,Oscar,Mannelijk,09/23/2019
Sint-Gillis-Waas,Sander,Mannelijk,09/25/2019
Blankenberge,Louisa,Vrouwelijk,09/16/2019
Brussel,Noor,Vrouwelijk,09/30/2019
Doornik,Marie,Vrouwelijk,09/18/2019
La Louvière,Mohamed,Mannelijk,09/29/2019
Schilde,Annemie,Vrouwelijk,10/04/2019
Neufchâteau (Neufchâteau),Maëlle,Vrouwelijk,09/25/2019
Dilbeek,Tibo,Mannelijk,09/24/2019
Kelmis,Ruth,Vrouwelijk,09/26/2019
Antwerpen,Andrea,Vrouwelijk,10/01/2019
Zonhoven,Patricia,Vrouwelijk,09/24/2019
Dilbeek,Henri,Mannelijk,09/25/2019
Alken,Lisa,Vrouwelijk,09/22/2019
Antwerpen,Helena,Vrouwelijk,09/21/2019
Willebroek,Petra,Vrouwelijk,09/14/2019
Diest,Jacqueline,Vrouwelijk,11/04/2019
Libramont-Chevigny,Michel,Mannelijk,09/26/2019
Moeskroen,Kevin,Mannelijk,10/10/2019
Alveringem,Fernand,Mannelijk,09/21/2019
Luik,Rémy,Mannelijk,09/21/2019
Elsene,Glenn,Mannelijk,09/16/2019
Zwalm,Roland,Mannelijk,09/23/2019
Antwerpen,Betty,Vrouwelijk,09/22/2019
Saint-Ghislain,Gustave,Mannelijk,09/26/2019
Waterloo,Célia,Vrouwelijk,09/29/2019
Tubeke,Alice,Vrouwelijk,10/10/2019
Lokeren,Jarne,Mannelijk,10/09/2019
Melle,Johan,Mannelijk,09/22/2019
Brugge,Tim,Mannelijk,09/26/2019
Lokeren,Veronique,Vrouwelijk,10/01/2019
Schoten,Vik,Mannelijk,09/23/2019
Luik,Didier,Mannelijk,09/21/2019
Meerhout,Jonas,Mannelijk,09/14/2019
Aalst (Aalst),Hélène,Vrouwelijk,09/20/2019
Charleroi,Frédéric,Mannelijk,09/29/2019
Peer,Pascal,Mannelijk,09/22/2019
Bornem,Frieda,Vrouwelijk,09/29/2019
Oudenburg,Guido,Mannelijk,09/23/2019
Westerlo,Wesley,Mannelijk,09/25/2019
Ledegem,Jelle,Mannelijk,10/12/2019
Binche,Victor,Mannelijk,09/27/2019
Kasterlee,Myriam,Vrouwelijk,10/14/2019
Vilvoorde,Jacqueline,Vrouwelijk,09/20/2019
De Haan,Zita,Vrouwelijk,09/21/2019
Torhout,Ida,Vrouwelijk,09/16/2019
Ans,Charline,Vrouwelijk,09/24/2019
Wervik,Johan,Mannelijk,09/19/2019
Brussel,Koenraad,Mannelijk,10/09/2019
Charleroi,Lucien,Mannelijk,10/17/2019
Essen,Anna,Vrouwelijk,09/20/2019
Sint-Truiden,Emile,Mannelijk,09/29/2019
Pecq,Marie-Christine,Vrouwelijk,09/25/2019
Aiseau-Presles,Malika,Vrouwelijk,09/24/2019
Binche,Rita,Vrouwelijk,09/25/2019
Herselt,Finn,Mannelijk,10/15/2019
Aat,Noah,Mannelijk,10/18/2019
Brugge,Luna,Vrouwelijk,10/13/2019
Borgworm,Clémence,Vrouwelijk,09/22/2019
Floreffe,Jean,Mannelijk,09/16/2019
Durbuy,Aline,Vrouwelijk,10/13/2019
Moeskroen,Isabelle,Vrouwelijk,10/04/2019
Lochristi,Nathan,Mannelijk,09/15/2019
Hamme (Dendermonde),Bram,Mannelijk,09/16/2019
Gent,Peggy,Vrouwelijk,09/29/2019
Gent,Kevin,Mannelijk,09/20/2019
Beveren (Sint-Niklaas),Brian,Mannelijk,09/27/2019
Langemark-Poelkapelle,Nadine,Vrouwelijk,09/23/2019
Genk,Bernadette,Vrouwelijk,09/23/2019
Wevelgem,Angelo,Mannelijk,09/29/2019
Seneffe,Pierre,Mannelijk,09/30/2019
Havelange,Kevin,Mannelijk,09/24/2019
Doische,Thomas,Mannelijk,09/25/2019
