gemeente,naam,geslacht,verwachte datum
Leuven,Zoë,Vrouwelijk,12/26/2019
Charleroi,Laly,Vrouwelijk,12/26/2019
Antwerpen,Walter,Mannelijk,12/22/2019
Gent,Christophe,Mannelijk,12/23/2019
Lokeren,Els,Vrouwelijk,01/12/2020
Rotselaar,Yves,Mannelijk,01/18/2020
Charleroi,Vassilios,Mannelijk,12/30/2019
Wezembeek-Oppem,Sarah,Vrouwelijk,12/27/2019
Nijvel,Fabrice,Mannelijk,01/02/2020
Melle,Hans,Mannelijk,12/27/2019
Etterbeek,Valérie,Vrouwelijk,12/17/2019
Antwerpen,Bart,Mannelijk,12/31/2019
Kinrooi,Maria,Vrouwelijk,12/25/2019
Saint-Ghislain,Bruno,Mannelijk,12/26/2019
Brasschaat,Henriette,Vrouwelijk,01/06/2020
Herstal,Pablo,Mannelijk,12/18/2019
Anderlecht,Lucie,Vrouwelijk,12/18/2019
Sint-Pieters-Woluwe,El,Mannelijk,12/25/2019
Leuven,Suzanne,Vrouwelijk,12/24/2019
Brecht,Annick,Vrouwelijk,02/19/2020
Pelt,Isabelle,Vrouwelijk,12/24/2019
Kortrijk,Ivonne,Vrouwelijk,12/24/2019
Nijlen,Charlotte,Vrouwelijk,01/01/2020
Herentals,Jules,Mannelijk,01/03/2020
Riemst,Natascha,Vrouwelijk,12/26/2019
Brussel,Fabrice,Mannelijk,12/28/2019
Esneux,Julia,Vrouwelijk,12/25/2019
Dour,Maria,Vrouwelijk,12/23/2019
Lille,Els,Vrouwelijk,01/02/2020
Anderlecht,Elise,Vrouwelijk,12/24/2019
Diksmuide,Niels,Mannelijk,01/04/2020
Le Roeulx,Manon,Vrouwelijk,12/22/2019
Antwerpen,Rudi,Mannelijk,12/23/2019
Fleurus,Nathan,Mannelijk,12/23/2019
Elsene,Ivana,Vrouwelijk,01/13/2020
Brugge,Geert,Mannelijk,12/27/2019
Courcelles,Chloé,Vrouwelijk,01/05/2020
Antwerpen,Joris,Mannelijk,12/28/2019
Villers-la-Ville,Adrien,Mannelijk,12/28/2019
Bergen,Caroline,Vrouwelijk,12/22/2019
Sint-Jans-Molenbeek,Nizar,Mannelijk,12/31/2019
Zwijndrecht,Frank,Mannelijk,12/23/2019
Genk,Seher,Vrouwelijk,12/24/2019
Moeskroen,Nancy,Vrouwelijk,12/22/2019
Jette,Fabienne,Vrouwelijk,12/23/2019
Evergem,Georgette,Vrouwelijk,01/11/2020
Nazareth,Christiane,Vrouwelijk,01/09/2020
Gent,Mariette,Vrouwelijk,01/14/2020
Middelkerke,Johan,Mannelijk,12/27/2019
Sint-Niklaas (Sint-Niklaas),Abdellatif,Mannelijk,12/31/2019
Wommelgem,Ingrid,Vrouwelijk,01/03/2020
Jemeppe-sur-Sambre,Jean-François,Mannelijk,12/25/2019
Chaumont-Gistoux,Marie-Claire,Vrouwelijk,02/05/2020
Marche-en-Famenne,Jacques,Mannelijk,01/01/2020
Sint-Joost-ten-Node,Marianne,Vrouwelijk,12/22/2019
Beringen,Sevgi,Vrouwelijk,12/26/2019
Arendonk,Jozef,Mannelijk,12/17/2019
Elsene,Youssef,Mannelijk,01/05/2020
Antwerpen,Bilal,Mannelijk,12/22/2019
Halle (Halle-Vilvoorde),Georgette,Vrouwelijk,12/26/2019
Leuven,Benjamin,Mannelijk,12/25/2019
Lens,Amandine,Vrouwelijk,12/23/2019
