gemeente,naam,geslacht,verwachte datum
Sint-Martens-Latem,Guy,Mannelijk,04/22/2019
Duffel,Mathis,Mannelijk,05/11/2019
Jette,Mohammed,Mannelijk,06/10/2019
Sint-Jans-Molenbeek,Amal,Vrouwelijk,04/26/2019
Oudergem,Jacqueline,Vrouwelijk,04/19/2019
Oudergem,Jacques,Mannelijk,04/21/2019
Wellen,Bert,Mannelijk,05/09/2019
Luik,Grégory,Mannelijk,04/15/2019
Kortrijk,Carine,Vrouwelijk,04/21/2019
Pelt,Willem,Mannelijk,05/18/2019
Luik,Benoit,Mannelijk,04/26/2019
Ternat,Joseph,Mannelijk,04/22/2019
Dinant,Lucas,Mannelijk,04/27/2019
Zwevegem,Steven,Mannelijk,04/21/2019
Hotton,Georgette,Vrouwelijk,04/24/2019
Aalst (Aalst),Wilfried,Mannelijk,04/27/2019
Kortrijk,Muguette,Vrouwelijk,04/26/2019
Bergen,Dora,Vrouwelijk,05/13/2019
Antwerpen,Theo,Mannelijk,04/29/2019
Antwerpen,Omar,Mannelijk,05/16/2019
Schaarbeek,Etienne,Mannelijk,04/22/2019
Evergem,Karen,Vrouwelijk,04/23/2019
Sint-Lambrechts-Woluwe,Baptiste,Mannelijk,04/21/2019
Luik,Gerard,Mannelijk,04/23/2019
Ganshoren,André,Mannelijk,05/13/2019
Moeskroen,Catherine,Vrouwelijk,05/05/2019
Wetteren,Fran,Vrouwelijk,04/21/2019
Brussel,Sébastien,Mannelijk,05/01/2019
Huldenberg,Lies,Vrouwelijk,05/12/2019
Watermaal-Bosvoorde,Nathan,Mannelijk,05/03/2019
Luik,Isabelle,Vrouwelijk,05/03/2019
Momignies,Marc,Mannelijk,04/27/2019
Maldegem,Emiel,Mannelijk,05/09/2019
Watermaal-Bosvoorde,Karine,Vrouwelijk,05/10/2019
Aalter,Willy,Mannelijk,05/15/2019
Menen,Jacqueline,Vrouwelijk,04/21/2019
Blegny,Danielle,Vrouwelijk,04/14/2019
Zemst,Herman,Mannelijk,04/26/2019
Zaventem,Gerda,Vrouwelijk,04/29/2019
Antwerpen,Karolina,Vrouwelijk,04/21/2019
Leuven,Stephanie,Vrouwelijk,05/04/2019
Habay,Simone,Vrouwelijk,05/01/2019
Temse,Kurt,Mannelijk,04/24/2019
Kruisem,Rune,Mannelijk,04/27/2019
Temse,Helena,Vrouwelijk,04/26/2019
Beyne-Heusay,Claire,Vrouwelijk,04/26/2019
Assesse,Danielle,Vrouwelijk,05/02/2019
Ham-sur-Heure-Nalinnes,Benoit,Mannelijk,04/22/2019
Balen,Sarah,Vrouwelijk,05/01/2019
Schaarbeek,Filip,Mannelijk,04/29/2019
Oostkamp,Annie,Vrouwelijk,05/03/2019
Maasmechelen,Gertrude,Vrouwelijk,04/30/2019
Yvoir,Anne,Vrouwelijk,04/19/2019
Zwijndrecht,Kristof,Mannelijk,05/03/2019
Assenede,Lisette,Vrouwelijk,04/30/2019
Deinze,Lesley,Vrouwelijk,04/28/2019
Maasmechelen,Irina,Vrouwelijk,04/30/2019
Leuven,Josepha,Vrouwelijk,05/17/2019
Verviers,Hugo,Mannelijk,05/09/2019
Lommel,Anna,Vrouwelijk,04/17/2019
Luik,Bernadette,Vrouwelijk,05/04/2019
Wingene,Heidi,Vrouwelijk,04/25/2019
Waver,David,Mannelijk,05/10/2019
Hasselt,Marie,Vrouwelijk,04/26/2019
Estaimpuis,Muriel,Vrouwelijk,04/17/2019
Halle (Halle-Vilvoorde),Alex,Mannelijk,04/16/2019
Libramont-Chevigny,Anita,Vrouwelijk,04/21/2019
