gemeente,naam,geslacht,verwachte datum
Lessen,Maxime,Mannelijk,05/22/2019
Lede,Diane,Vrouwelijk,05/25/2019
Oudenaarde,Joyce,Vrouwelijk,06/10/2019
Mechelen,Herman,Mannelijk,06/02/2019
Essen,Mireille,Vrouwelijk,06/22/2019
Bergen,Jennifer,Vrouwelijk,05/24/2019
Moeskroen,Louise,Vrouwelijk,05/17/2019
Maasmechelen,Etienne,Mannelijk,06/03/2019
Antwerpen,Carina,Vrouwelijk,05/16/2019
Oudsbergen,Greta,Vrouwelijk,05/20/2019
Schaarbeek,Fatima,Vrouwelijk,05/31/2019
Luik,Olga,Vrouwelijk,06/12/2019
Tintigny,Jean-Luc,Mannelijk,06/10/2019
Brugge,Stefaan,Mannelijk,05/22/2019
Seraing,Christiane,Vrouwelijk,05/23/2019
Oostende,Liliane,Vrouwelijk,05/24/2019
Doornik,Mylan,Mannelijk,05/29/2019
Lokeren,Els,Vrouwelijk,05/15/2019
Denderleeuw,Marie,Vrouwelijk,05/22/2019
Beerse,Nico,Mannelijk,05/21/2019
Morlanwelz,Christine,Vrouwelijk,05/17/2019
Walcourt,Rémy,Mannelijk,05/20/2019
Elzele,Valentin,Mannelijk,05/13/2019
Sint-Truiden,Daniëlle,Vrouwelijk,05/29/2019
Mechelen,Jo,Vrouwelijk,05/20/2019
Mettet,Denis,Mannelijk,06/06/2019
Brugge,Christiane,Vrouwelijk,05/21/2019
Tremelo,Diana,Vrouwelijk,05/13/2019
Ieper,Guido,Mannelijk,05/21/2019
Luik,Manuel,Mannelijk,06/01/2019
Mechelen,Sarah,Vrouwelijk,05/26/2019
Balen,Maria,Vrouwelijk,05/24/2019
Luik,Marie-José,Vrouwelijk,06/01/2019
Fontaine-l’Evêque,Johanna,Vrouwelijk,05/13/2019
Hamont-Achel,Martinus,Mannelijk,06/16/2019
Doornik,Enzo,Mannelijk,05/26/2019
Leuven,Tom,Mannelijk,06/03/2019
Ganshoren,Suzanne,Vrouwelijk,05/20/2019
Zulte,Kevin,Mannelijk,05/29/2019
Flémalle,Chantal,Vrouwelijk,05/24/2019
Binche,Arlette,Vrouwelijk,06/01/2019
Poperinge,Anja,Vrouwelijk,06/05/2019
Knokke-Heist,Marc,Mannelijk,05/23/2019
Ohey,Geoffrey,Mannelijk,05/27/2019
Chapelle-lez-Herlaimont,Jeannine,Vrouwelijk,05/17/2019
Sint-Gillis,Dounia,Vrouwelijk,05/25/2019
Nandrin,Jeanne,Vrouwelijk,05/23/2019
Bocholt,Jeroen,Mannelijk,06/01/2019
Lille,Rachel,Vrouwelijk,05/27/2019
Gembloux,Nathalie,Vrouwelijk,05/20/2019
Anderlecht,Christiane,Vrouwelijk,05/31/2019
Mol,Joël,Mannelijk,05/31/2019
Brasschaat,Reinhilde,Vrouwelijk,06/02/2019
Sombreffe,Daniel,Mannelijk,06/02/2019
Oudenaarde,Michel,Mannelijk,05/29/2019
Sint-Jans-Molenbeek,Amine,Mannelijk,06/01/2019
Zinnik,Sofia,Vrouwelijk,06/02/2019
Houthalen-Helchteren,Maria,Vrouwelijk,06/03/2019
Ans,Ismail,Mannelijk,05/18/2019
Nijlen,Rosa,Vrouwelijk,05/29/2019
Etterbeek,Irena,Vrouwelijk,05/27/2019
Brugge,Gustave,Mannelijk,05/21/2019
Retie,Peggy,Vrouwelijk,05/26/2019
