gemeente,naam,geslacht,verwachte datum
Borgloon,Roel,Mannelijk,05/04/2019
Gent,Bert,Mannelijk,04/19/2019
Ardooie,Greta,Vrouwelijk,04/22/2019
Lint,Christiane,Vrouwelijk,04/26/2019
Kapellen (Antwerpen),Clement,Mannelijk,05/30/2019
Hoei,Yves,Mannelijk,05/09/2019
Dilbeek,Célia,Vrouwelijk,05/17/2019
Laarne,Léon,Mannelijk,05/15/2019
Lokeren,Boris,Mannelijk,05/04/2019
Ranst,Emma,Vrouwelijk,04/28/2019
Nieuwpoort,Hilda,Vrouwelijk,04/27/2019
Beerse,Lea,Vrouwelijk,05/09/2019
Chaudfontaine,Henri,Mannelijk,05/08/2019
Verviers,Jean,Mannelijk,05/04/2019
Oostende,Rony,Mannelijk,05/02/2019
Schoten,Jan,Mannelijk,04/25/2019
Anderlecht,Mohamed,Mannelijk,05/04/2019
Luik,Josée,Vrouwelijk,04/19/2019
Gent,Martine,Vrouwelijk,05/18/2019
Vilvoorde,Stijn,Mannelijk,04/19/2019
Deinze,Rita,Vrouwelijk,04/27/2019
Mechelen,Latifa,Vrouwelijk,05/05/2019
Schaarbeek,Al,Mannelijk,05/07/2019
Sambreville,Grégory,Mannelijk,04/21/2019
Wevelgem,Sofie,Vrouwelijk,05/08/2019
Antwerpen,Ludovicus,Mannelijk,05/02/2019
Zinnik,Louis,Mannelijk,05/01/2019
Kapelle-op-den-Bos,Johan,Mannelijk,04/22/2019
Blegny,Laurent,Mannelijk,04/28/2019
Zulte,Frank,Mannelijk,04/22/2019
Antwerpen,Janice,Vrouwelijk,04/28/2019
Charleroi,Miguel,Mannelijk,05/11/2019
Oudergem,Maxime,Mannelijk,05/23/2019
Sint-Joost-ten-Node,Natalia,Vrouwelijk,04/30/2019
Ukkel,Pascale,Vrouwelijk,05/16/2019
De Panne,Mireille,Vrouwelijk,04/26/2019
Kruisem,Johan,Mannelijk,05/20/2019
Verviers,Romain,Mannelijk,04/28/2019
Seraing,Benoit,Mannelijk,05/05/2019
Hamme (Dendermonde),Alyssa,Vrouwelijk,05/02/2019
Brasschaat,Annick,Vrouwelijk,05/23/2019
Beveren (Sint-Niklaas),Katrien,Vrouwelijk,05/01/2019
Antwerpen,Warre,Mannelijk,04/26/2019
Dour,Michel,Mannelijk,05/04/2019
Doornik,Daniel,Mannelijk,04/23/2019
Luik,Maria,Vrouwelijk,05/07/2019
Antwerpen,Dennis,Mannelijk,04/30/2019
Komen-Waasten,Camille,Vrouwelijk,05/15/2019
Bredene,Kimberly,Vrouwelijk,04/25/2019
Brugge,Norbert,Mannelijk,04/20/2019
Soumagne,Jonathan,Mannelijk,05/22/2019
Mettet,Chloé,Vrouwelijk,04/19/2019
Verviers,Elisa,Vrouwelijk,04/26/2019
Hamme (Dendermonde),Marc,Mannelijk,05/03/2019
Tremelo,Jonas,Mannelijk,04/30/2019
Antwerpen,Richard,Mannelijk,04/29/2019
Kortessem,Michaël,Mannelijk,04/28/2019
Charleroi,Monique,Vrouwelijk,05/05/2019
Leuven,Erwin,Mannelijk,05/08/2019
Geel,Manuel,Mannelijk,04/22/2019
Doornik,Amélia,Vrouwelijk,05/04/2019
Retie,Sofie,Vrouwelijk,05/03/2019
Lier,Lauren,Vrouwelijk,04/20/2019
Rumes,Romain,Mannelijk,04/29/2019
Sint-Niklaas (Sint-Niklaas),Rachel,Vrouwelijk,05/08/2019
Nijvel,Pierre,Mannelijk,05/05/2019
Linter,Marc,Mannelijk,04/26/2019
Doornik,Paul,Mannelijk,04/23/2019
Brasschaat,Ferre,Mannelijk,05/08/2019
Marche-en-Famenne,Mehmet,Mannelijk,04/29/2019
Stekene,Sigrid,Vrouwelijk,05/09/2019
Grimbergen,Antoine,Mannelijk,05/04/2019
Temse,Betty,Vrouwelijk,04/27/2019
Wevelgem,Jules,Mannelijk,05/20/2019
Sint-Martens-Latem,Jean,Mannelijk,04/27/2019
Balen,Benny,Mannelijk,04/21/2019
Kruibeke,Frankie,Mannelijk,04/29/2019
Quaregnon,Françoise,Vrouwelijk,04/24/2019
Zinnik,Bernard,Mannelijk,05/06/2019
Bernissart,Guillaume,Mannelijk,05/02/2019
Jabbeke,Marcel,Mannelijk,05/01/2019
Riemst,Patrick,Mannelijk,05/01/2019
Jabbeke,Hans,Mannelijk,05/09/2019
Heusden-Zolder,Tamara,Vrouwelijk,04/25/2019
Tienen,Ferdinand,Mannelijk,04/19/2019
Schaarbeek,Recep,Mannelijk,04/25/2019
Elsene,Dominique,Mannelijk,05/02/2019
Antwerpen,Katrin,Vrouwelijk,04/28/2019
Heusden-Zolder,Stefan,Mannelijk,04/22/2019
Kortrijk,Patrick,Mannelijk,04/20/2019
Oostkamp,Karel,Mannelijk,05/07/2019
Hulshout,Ann,Vrouwelijk,05/09/2019
Overijse,Mary,Vrouwelijk,04/30/2019
Brakel,Monique,Vrouwelijk,04/26/2019
Vilvoorde,Kim,Vrouwelijk,05/06/2019
La Louvière,Giuseppa,Vrouwelijk,04/27/2019
Oudenburg,Katrien,Vrouwelijk,05/09/2019
Geraardsbergen,Steven,Mannelijk,05/18/2019
Ninove,Elke,Vrouwelijk,05/07/2019
Lier,Pascale,Vrouwelijk,05/02/2019
Anderlecht,Nour,Vrouwelijk,04/30/2019
Mortsel,Elias,Mannelijk,04/20/2019
Gent,Matthias,Mannelijk,04/28/2019
Kortrijk,Alexander,Mannelijk,04/21/2019
Assenede,Thierry,Mannelijk,05/01/2019
Antwerpen,Marcel,Mannelijk,05/07/2019
Jette,Anne,Vrouwelijk,05/10/2019
Verviers,Marc,Mannelijk,05/01/2019
Poperinge,Valérie,Vrouwelijk,05/03/2019
Zwevegem,Fanny,Vrouwelijk,05/05/2019
Beersel,Philippe,Mannelijk,04/20/2019
Tessenderlo,Augusta,Vrouwelijk,05/02/2019
Schaarbeek,Radia,Vrouwelijk,05/07/2019
Sombreffe,Denise,Vrouwelijk,04/22/2019
Kuurne,Frank,Mannelijk,04/22/2019
Gent,Willy,Mannelijk,05/04/2019
Gent,Marco,Mannelijk,05/05/2019
Hasselt,Leonardus,Mannelijk,05/02/2019
Brussel,Mathilde,Vrouwelijk,05/15/2019
Luik,Rosario,Mannelijk,05/01/2019
Antwerpen,Edward,Mannelijk,05/07/2019
Brugge,Benjamin,Mannelijk,05/16/2019
Maaseik,Henri,Mannelijk,04/26/2019
Anderlecht,Panagiotis,Mannelijk,04/20/2019
Wijnegem,Kevin,Mannelijk,04/20/2019
Anderlecht,Daniel,Mannelijk,04/26/2019
Lier,Luk,Mannelijk,04/20/2019
Sankt Vith,Wolfgang,Mannelijk,05/03/2019
Antwerpen,Michel,Mannelijk,04/23/2019
Mortsel,Paula,Vrouwelijk,04/26/2019
Gistel,Erik,Mannelijk,04/28/2019
Andenne,Bernadette,Vrouwelijk,05/02/2019
Middelkerke,Michael,Mannelijk,06/14/2019
Lievegem,Pierre,Mannelijk,04/28/2019
Namen,Maurice,Mannelijk,06/04/2019
Borsbeek,Nancy,Vrouwelijk,05/05/2019
Heist-op-den-Berg,Karina,Vrouwelijk,05/07/2019
Voeren,Philippe,Mannelijk,05/05/2019
Alken,Gunther,Mannelijk,04/24/2019
Péruwelz,Michel,Mannelijk,05/19/2019
Ranst,Nancy,Vrouwelijk,05/02/2019
Limburg,Christian,Mannelijk,05/08/2019
Kortenberg,Liam,Mannelijk,05/20/2019
Lochristi,Martina,Vrouwelijk,04/27/2019
Antwerpen,Sébastien,Mannelijk,04/26/2019
Charleroi,Henri,Mannelijk,04/20/2019
Namen,Aurélie,Vrouwelijk,04/20/2019
Beveren (Sint-Niklaas),Jelle,Mannelijk,04/29/2019
Charleroi,Céline,Vrouwelijk,05/16/2019
Mettet,Sabine,Vrouwelijk,04/29/2019
Aarschot,Merel,Vrouwelijk,04/27/2019
Diepenbeek,Josiane,Vrouwelijk,05/06/2019
Brugge,Johan,Mannelijk,04/25/2019
Merelbeke,Armand,Mannelijk,04/28/2019
Londerzeel,Marina,Vrouwelijk,04/27/2019
Poperinge,Francine,Vrouwelijk,04/28/2019
Anderlecht,Willy,Mannelijk,05/06/2019
Charleroi,Sarah,Vrouwelijk,04/20/2019
Middelkerke,Jens,Mannelijk,04/24/2019
Drogenbos,Elisabeth,Vrouwelijk,05/16/2019
Zwijndrecht,Lydia,Vrouwelijk,04/23/2019
Ferrières,Nicole,Vrouwelijk,05/06/2019
Ukkel,Susanne,Vrouwelijk,05/05/2019
Antwerpen,Anas,Mannelijk,05/19/2019
Sint-Niklaas (Sint-Niklaas),Jo,Mannelijk,04/27/2019
Namen,Delphine,Vrouwelijk,04/26/2019
Willebroek,Kristof,Mannelijk,05/17/2019
Zwevegem,Veerle,Vrouwelijk,04/26/2019
Herent,Brecht,Mannelijk,04/27/2019
Farciennes,Emir,Mannelijk,05/01/2019
Namen,Cécile,Vrouwelijk,05/08/2019
Estaimpuis,Raphaël,Mannelijk,04/22/2019
Maarkedal,Hendrik,Mannelijk,05/22/2019
Antwerpen,Noor,Vrouwelijk,05/02/2019
Wevelgem,Tristan,Mannelijk,04/26/2019
Antwerpen,Eline,Vrouwelijk,05/04/2019
Kortessem,Myriam,Vrouwelijk,05/08/2019
Zelzate,Josée,Vrouwelijk,04/27/2019
Thuin,Eric,Mannelijk,05/05/2019
Malmedy,Simon,Mannelijk,05/06/2019
Blankenberge,Lisette,Vrouwelijk,05/01/2019
Mechelen,Veerle,Vrouwelijk,04/23/2019
Etalle,Amélie,Vrouwelijk,04/27/2019
Antoing,Noémie,Vrouwelijk,04/26/2019
Genk,Salih,Mannelijk,05/02/2019
Sint-Truiden,Femke,Vrouwelijk,04/22/2019
Diepenbeek,Isabelle,Vrouwelijk,05/09/2019
Brussel,Naira,Vrouwelijk,04/23/2019
Stabroek,Ingrid,Vrouwelijk,05/20/2019
Bertem,Marina,Vrouwelijk,05/04/2019
Aalst (Aalst),Michel,Mannelijk,05/08/2019
Antwerpen,Melania,Vrouwelijk,05/05/2019
Antwerpen,Nick,Mannelijk,04/27/2019
Haacht,Gert,Mannelijk,04/30/2019
Glabbeek,Kris,Mannelijk,04/20/2019
Antwerpen,Esmeralda,Vrouwelijk,04/30/2019
Saint-Nicolas (Luik),Vincent,Mannelijk,05/07/2019
Bergen,Sophie,Vrouwelijk,05/04/2019
Antwerpen,Huriye,Vrouwelijk,05/02/2019
Dilsen-Stokkem,Elisa,Vrouwelijk,04/26/2019
Tienen,Petra,Vrouwelijk,05/07/2019
Sambreville,Bruno,Mannelijk,04/30/2019
Sint-Pieters-Leeuw,Vanessa,Vrouwelijk,04/22/2019
Dendermonde,Ella,Vrouwelijk,04/30/2019
Oudsbergen,Peter,Mannelijk,04/24/2019
Seraing,Alain,Mannelijk,04/29/2019
Sprimont,Jessica,Vrouwelijk,05/02/2019
Ham-sur-Heure-Nalinnes,Aurélie,Vrouwelijk,04/29/2019
Walcourt,Valérie,Vrouwelijk,04/30/2019
Gent,Silvia,Vrouwelijk,05/18/2019
Lokeren,Mauro,Mannelijk,04/20/2019
Moeskroen,Tim,Mannelijk,04/23/2019
Houffalize,Béatrice,Vrouwelijk,04/20/2019
Lokeren,Joppe,Mannelijk,05/07/2019
Weismes,Linda,Vrouwelijk,05/02/2019
Schaarbeek,Gülden,Vrouwelijk,04/29/2019
Châtelet,Mallory,Mannelijk,05/03/2019
Kraainem,Paule,Vrouwelijk,05/21/2019
Charleroi,Nathalie,Vrouwelijk,04/20/2019
Bierbeek,Luc,Mannelijk,04/27/2019
Eghezée,Delphine,Vrouwelijk,05/09/2019
Oostende,Marie,Vrouwelijk,04/27/2019
Antwerpen,Bülent,Mannelijk,04/28/2019
Brussel,Grâce,Vrouwelijk,04/27/2019
Bierbeek,Steven,Mannelijk,05/01/2019
Gent,Joseph,Mannelijk,05/01/2019
Tintigny,Claude,Mannelijk,05/09/2019
Hasselt,Yasmin,Vrouwelijk,04/29/2019
Leuven,Deniz,Vrouwelijk,04/29/2019
Vosselaar,David,Mannelijk,04/28/2019
Beerse,Marie-José,Vrouwelijk,04/28/2019
Antwerpen,Pauline,Vrouwelijk,04/28/2019
Oostrozebeke,Etienne,Mannelijk,04/30/2019
’s Gravenbrakel,Marcel,Mannelijk,04/20/2019
Lier,Bruno,Mannelijk,05/05/2019
Lasne,Céline,Vrouwelijk,04/28/2019
Liedekerke,Hortense,Vrouwelijk,04/26/2019
Chimay,Chantal,Vrouwelijk,05/08/2019
Sint-Agatha-Berchem,Lina,Vrouwelijk,06/07/2019
Schaarbeek,Youssef,Mannelijk,05/01/2019
Laarne,Robin,Mannelijk,04/30/2019
Aalter,Hans,Mannelijk,05/10/2019
Harelbeke,Wendy,Vrouwelijk,05/01/2019
Knokke-Heist,Michelle,Vrouwelijk,05/07/2019
Boom,Wassim,Mannelijk,05/13/2019
Aarschot,David,Mannelijk,05/21/2019
Aalst (Aalst),Luna,Vrouwelijk,04/20/2019
Moeskroen,Jérôme,Mannelijk,04/29/2019
Hannuit,Benjamin,Mannelijk,04/30/2019
Kapellen (Antwerpen),Christiane,Vrouwelijk,04/24/2019
Beveren (Sint-Niklaas),Nicole,Vrouwelijk,04/20/2019
Maasmechelen,Omer,Mannelijk,05/09/2019
Jette,Imran,Mannelijk,04/29/2019
Eeklo,Ann,Vrouwelijk,06/14/2019
Zaventem,Kenny,Mannelijk,06/16/2019
Brasschaat,Walter,Mannelijk,05/09/2019
Charleroi,Muhammet,Mannelijk,04/29/2019
Charleroi,Lucas,Mannelijk,05/18/2019
Mechelen,Jurgen,Mannelijk,04/28/2019
Blegny,Dimitri,Mannelijk,05/11/2019
Bergen,Elise,Vrouwelijk,05/09/2019
Charleroi,Anthony,Mannelijk,05/09/2019
Antwerpen,Yanis,Mannelijk,05/05/2019
Elsene,Mohamad,Mannelijk,04/22/2019
Dendermonde,Jeroen,Mannelijk,05/10/2019
Aarlen,Eva,Vrouwelijk,05/16/2019
Luik,Hind,Vrouwelijk,05/05/2019
Herstal,Maria,Vrouwelijk,05/04/2019
Remicourt,Michèle,Vrouwelijk,04/21/2019
Luik,Nadine,Vrouwelijk,04/29/2019
Meise,Lotte,Vrouwelijk,04/28/2019
Chimay,Josette,Vrouwelijk,05/05/2019
Oudsbergen,Geert,Mannelijk,04/24/2019
Dinant,Hugo,Mannelijk,05/04/2019
Sint-Lambrechts-Woluwe,Christine,Vrouwelijk,04/28/2019
Dour,Donovan,Mannelijk,04/21/2019
Elsene,Fatma,Vrouwelijk,04/28/2019
Antwerpen,Bram,Mannelijk,04/26/2019
Antwerpen,Mario,Mannelijk,04/21/2019
Laarne,Daniël,Mannelijk,04/22/2019
Antwerpen,Inge,Vrouwelijk,05/22/2019
Malle,Joyce,Vrouwelijk,04/26/2019
Zemst,Els,Vrouwelijk,04/20/2019
Colfontaine,François,Mannelijk,05/02/2019
Laakdal,Betty,Vrouwelijk,04/29/2019
Asse,René,Mannelijk,04/23/2019
Gent,Kurt,Mannelijk,05/06/2019
Merchtem,Dirk,Mannelijk,04/30/2019
Knokke-Heist,Florian,Mannelijk,05/05/2019
Rixensart,Oscar,Mannelijk,04/24/2019
Herstal,Vincent,Mannelijk,04/28/2019
Knokke-Heist,Antoinette,Vrouwelijk,04/30/2019
Lobbes,Caroline,Vrouwelijk,05/12/2019
Vosselaar,Robert,Mannelijk,05/01/2019
Theux,Laurent,Mannelijk,04/23/2019
Gent,Karlijn,Vrouwelijk,05/07/2019
Quaregnon,Hicham,Mannelijk,05/08/2019
Clavier,Manuel,Mannelijk,04/20/2019
Roeselare,Maarten,Mannelijk,04/21/2019
Bornem,Merel,Vrouwelijk,05/06/2019
Ham,Pieter,Mannelijk,04/21/2019
Ans,Andrée,Vrouwelijk,04/26/2019
Stabroek,Johanna,Vrouwelijk,04/28/2019
Aalst (Aalst),Monique,Vrouwelijk,04/25/2019
Oudergem,Chantal,Vrouwelijk,05/03/2019
Brunehaut,Delphine,Vrouwelijk,05/20/2019
Beveren (Sint-Niklaas),Roger,Mannelijk,04/19/2019
Antwerpen,Christian,Mannelijk,05/11/2019
Zwevegem,Gerard,Mannelijk,05/04/2019
Harelbeke,Jan,Mannelijk,05/01/2019
Ninove,Viktor,Mannelijk,04/30/2019
Diest,Bernadette,Vrouwelijk,05/06/2019
Sint-Lambrechts-Woluwe,Marc,Mannelijk,04/24/2019
Linter,Gustaaf,Mannelijk,04/24/2019
Elsene,Barbara,Vrouwelijk,04/27/2019
Beersel,Brigitte,Vrouwelijk,05/18/2019
Lessen,Maxime,Mannelijk,05/22/2019
Hasselt,Joyce,Vrouwelijk,05/14/2019
Bergen,Sephora,Vrouwelijk,05/21/2019
Brugge,Katrien,Vrouwelijk,04/28/2019
Stabroek,Anita,Vrouwelijk,05/03/2019
Roeselare,David,Mannelijk,04/21/2019
Evergem,Maria,Vrouwelijk,05/01/2019
Vilvoorde,Charlotte,Vrouwelijk,04/30/2019
Hasselt,Céline,Vrouwelijk,04/25/2019
Antwerpen,Josephina,Vrouwelijk,05/09/2019
Geel,Maria,Vrouwelijk,04/27/2019
Péruwelz,Amélie,Vrouwelijk,05/06/2019
Lessen,Anita,Vrouwelijk,04/19/2019
Torhout,Diana,Vrouwelijk,04/26/2019
Kortrijk,David,Mannelijk,04/25/2019
Seneffe,Sebastien,Mannelijk,05/20/2019
Oudsbergen,Jan,Mannelijk,05/06/2019
Koksijde,Jean,Mannelijk,04/27/2019
Antwerpen,Lewis,Mannelijk,05/08/2019
Hasselt,Evelien,Vrouwelijk,04/29/2019
Libramont-Chevigny,Yves,Mannelijk,05/02/2019
