gemeente,naam,geslacht,verwachte datum
Lennik,Inge,Vrouwelijk,03/05/2019
Lierde,Isabelle,Vrouwelijk,05/05/2019
Ledegem,Victor,Mannelijk,03/19/2019
Wuustwezel,Maria,Vrouwelijk,03/09/2019
Sint-Lambrechts-Woluwe,Amadou,Mannelijk,03/21/2019
Watermaal-Bosvoorde,Edouard,Mannelijk,03/02/2019
Gent,Alexia,Vrouwelijk,04/03/2019
Bonheiden,Gaston,Mannelijk,03/27/2019
Welkenraedt,Ahmed,Mannelijk,03/18/2019
Geel,Stephanie,Vrouwelijk,03/08/2019
Aubange,Filipe,Mannelijk,03/30/2019
Léglise,Elise,Vrouwelijk,03/31/2019
Herent,Erik,Mannelijk,03/09/2019
Lontzen,Ralph,Mannelijk,03/10/2019
Roeselare,Lobke,Vrouwelijk,03/17/2019
Pelt,Maria,Vrouwelijk,03/18/2019
Verviers,Marie-Louise,Vrouwelijk,03/19/2019
Mol,Rosalie,Vrouwelijk,03/09/2019
Borgworm,Josiane,Vrouwelijk,03/14/2019
Mont-Saint-Guibert,Magali,Vrouwelijk,03/04/2019
Antwerpen,Marieke,Vrouwelijk,05/07/2019
Overijse,Elena,Vrouwelijk,03/14/2019
Wetteren,Antoon,Mannelijk,03/07/2019
Lommel,Tony,Mannelijk,03/13/2019
Namen,Jean,Mannelijk,03/20/2019
Aalst (Aalst),Lenn,Mannelijk,03/11/2019
Lessen,Louis,Mannelijk,03/12/2019
Lokeren,Frederik,Mannelijk,03/07/2019
Theux,André,Mannelijk,04/03/2019
Clavier,Alain,Mannelijk,03/03/2019
La Louvière,Véronique,Vrouwelijk,03/03/2019
Oosterzele,Wim,Mannelijk,03/13/2019
Charleroi,Kevin,Mannelijk,03/04/2019
Luik,Pierre-François,Mannelijk,03/20/2019
Lebbeke,Petrus,Mannelijk,03/17/2019
Philippeville,Virginie,Vrouwelijk,03/05/2019
Waterloo,Juliette,Vrouwelijk,03/14/2019
Ukkel,Sara,Vrouwelijk,03/29/2019
Keerbergen,Anne,Vrouwelijk,03/07/2019
Brugge,Sebbe,Mannelijk,03/19/2019
