gemeente,naam,geslacht,verwachte datum
Kortrijk,Bart,Mannelijk,10/05/2019
Wommelgem,Christel,Vrouwelijk,10/10/2019
Luik,Martine,Vrouwelijk,09/30/2019
Heist-op-den-Berg,Frans,Mannelijk,10/05/2019
Brugge,Marieke,Vrouwelijk,10/17/2019
Bocholt,Bram,Mannelijk,10/09/2019
Ukkel,Marco,Mannelijk,10/28/2019
Ukkel,Zuzanna,Vrouwelijk,10/09/2019
Moorslede,Frieda,Vrouwelijk,09/30/2019
Zaventem,Giovanni,Mannelijk,10/08/2019
Roosdaal,Johan,Mannelijk,10/22/2019
Antwerpen,Katrien,Vrouwelijk,10/06/2019
Evergem,Ellen,Vrouwelijk,10/05/2019
Anderlecht,Ines,Vrouwelijk,10/22/2019
Deerlijk,Eric,Mannelijk,10/04/2019
Evere,Monique,Vrouwelijk,10/23/2019
Mechelen,Christophe,Mannelijk,10/20/2019
Bevekom,Anne,Vrouwelijk,10/03/2019
Arendonk,Elisabeth,Vrouwelijk,10/04/2019
Ottignies-Louvain-la-Neuve,Juan,Mannelijk,10/08/2019
Gent,Beata,Vrouwelijk,10/05/2019
Olen,Patrick,Mannelijk,10/21/2019
Namen,Michel,Mannelijk,10/26/2019
Mortsel,Bart,Mannelijk,10/11/2019
Knokke-Heist,Claudine,Vrouwelijk,10/15/2019
Brussel,Michele,Vrouwelijk,10/10/2019
Kruibeke,Stijn,Mannelijk,10/02/2019
Asse,Thomas,Mannelijk,10/09/2019
Kortemark,Christine,Vrouwelijk,10/05/2019
Antwerpen,Octavian,Mannelijk,10/07/2019
Antwerpen,Fatiha,Vrouwelijk,11/16/2019
Seraing,Michael,Mannelijk,10/11/2019
Aarlen,Micheline,Vrouwelijk,10/12/2019
Ninove,Véronique,Vrouwelijk,10/15/2019
Pont-à-Celles,Pascale,Vrouwelijk,10/07/2019
Brugge,Dirk,Mannelijk,10/03/2019
Lokeren,Annie,Vrouwelijk,10/15/2019
Boortmeerbeek,Elise,Vrouwelijk,10/04/2019
Beveren (Sint-Niklaas),Mariska,Vrouwelijk,10/05/2019
Chapelle-lez-Herlaimont,Chloé,Vrouwelijk,10/03/2019
Mortsel,Milan,Mannelijk,10/08/2019
Elsene,Loris,Mannelijk,09/29/2019
Alken,Carla,Vrouwelijk,10/09/2019
Saint-Ghislain,Josette,Vrouwelijk,10/03/2019
Gent,Benedict,Mannelijk,09/29/2019
Buggenhout,Sabine,Vrouwelijk,10/15/2019
Nijlen,Leen,Vrouwelijk,10/15/2019
Oudenburg,Kurt,Mannelijk,11/27/2019
Oud-Heverlee,Annie,Vrouwelijk,10/14/2019
Chaudfontaine,Sara,Vrouwelijk,10/03/2019
Sambreville,Emile,Mannelijk,10/03/2019
Maaseik,Elisabeth,Vrouwelijk,10/12/2019
Kapellen (Antwerpen),Reinhilde,Vrouwelijk,10/13/2019
Steenokkerzeel,Ludo,Mannelijk,10/08/2019
Oud-Heverlee,Elke,Vrouwelijk,10/10/2019
Hoeilaart,Pierre,Mannelijk,09/27/2019
Profondeville,Nicole,Vrouwelijk,10/05/2019
Malmedy,Anne,Vrouwelijk,09/28/2019
Balen,Kevin,Mannelijk,10/15/2019
Brunehaut,Alice,Vrouwelijk,10/03/2019
Ukkel,Juliana,Vrouwelijk,10/13/2019
Graven,Steve,Mannelijk,10/28/2019
Brussel,Abdelkader,Mannelijk,10/01/2019
Kortessem,Gerard,Mannelijk,10/12/2019
Antwerpen,Peggy,Vrouwelijk,10/07/2019
Bergen,Charlène,Vrouwelijk,10/04/2019
